"","L4x4","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum"
"1","L-10-0",0,0,0,0,556294.15314346,876713.962334868,0,0,88127.663851,0,0,0,0,0,0,0,0,0,49195.4842184,0,0,0,0,62829.60706,166105.264299,0,0,174873.600145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6703.893760657,0,0,0,0,0,0,0,127495.89855,40889.003033275,3.639259921,3033817.9405284,1620613.32510257,1453812.3307523,961662.95970138,1404532.5585559,0,0,0,25802.47806,241978.484348,0,0,0,0,0,0,44379.65868,245263.647330621,59158.6041012,52997.4105484,69678.121792,381242.975606561,0,0,635137.235593,0,0,0,0,0,0,0,0,10000.0163531,0,0,0,148064.363085019,0,0,72827.3992507,0,0,69163.844446,0,267117.133178,13517.516541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","L-10-1",0,0,0,893178.9514184,100882.64615,3702.133819,0,120486.441814,0,0,0,0,0,21610.04086,0,0,0,301530.0107667,0,0,0,0,0,283516.0675458,0,0,0,158705.211526,0,0,0,0,0,0,0,0,76419.214906,109205.59462,0,0,0,0,0,0,0,0,0,0,17095.47708,0,0,0,0,0,0,0,76608.32809,0,139667.3794817,401116.561411,0,0,0,116979.61004,65511.11402,0,0,0,0,0,0,0,1759647.889739,503937.335924,99278.2164066,102053.73623,116609.633618632,0,0,236894.921453372,0,0,0,0,0,0,0,0,0,0,0,0,33834.4753713,0,0,21529.126769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","L-10-2",0,0,0,38531.0762,441056.148801,0,0,0,0,0,0,0,0,63906.4312056,0,0,0,0,0,0,0,0,0,6685.416136,5789.911879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456.894664,0,0,0,0,0,0,0,0,592413.77220173,128189.0857374,6847.730683,2559.147429,1371559.485602,0,0,0,2975.165195,0,0,0,0,0,0,0,0,954468.919679,270682.2139422,28600.108532,246729.959507,238512.05473,0,0,1260388.21040532,0,0,0,0,0,0,0,0,0,0,0,0,50580.020743,0,0,12311.5986497,0,0,0,0,35756.729281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","L-10-3",0,0,0,212827.84035,301898.27721,151146.4814975,0,0,0,0,0,0,0,0,0,0,0,210564.833365,0,0,0,0,0,47605.47846,127728.783936,0,0,531871.79586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283832.36595,0,168275.785225,0,0,0,0,0,0,0,0,280193.991966,1212344.77970107,127837.468686,67962.13694,610822.06603445,0,0,0,0,0,0,0,0,0,0,0,0,496430.054456869,107450.06196,13163.63355614,348079.81585,240302.60313,0,0,150582.1053551,0,0,0,0,0,0,0,0,0,0,0,0,40934.6139374,0,0,28145.0903824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","L-10-4",0,0,0,207776.27599,152259.43635,262805.4808977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80398.7522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103811.34997,0,0,0,0,0,0,0,0,635865.79639,1074238.87411,425319.823996,25049.57458,511181.0666,0,0,0,0,0,0,0,0,0,0,0,0,1493936.659447,24123.967148,25820.3058508,323518.824979,124283.88558012,0,0,6455.2151557,0,0,0,0,0,0,0,0,12876.70001,0,0,0,65100.3479324,0,0,9936.4823143,0,0,0,0,195241.1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","L-11-0",0,0,0,0,1830567.764111,2951533.160953,1.339164062,0.379823674,0.094713829,0.04012896,0,0,0,0,40329.462467,245086.903803242,51141.331454,0,0,0,0,0,0,0,0,151912.905392,5825.48914261,0,0,0,0,0,0,0,121868.531018,287149.06354018,88834.543331758,108147.694084257,87455.21927,0,0,0,0,12627.08451,138172.187443,405314.6649674,379094.1579497,90661.71515565,17.51793473,8.411250241,0,0,0,0,8.406752305,3252.58271288,25732.67964478,46.3531425,24.30279564,16.72766064,0,0,0,0,37732.08590264,70856.9366778,69034.717001,165.6580069,122.5770287,96.61682154,4780.646975,0,11723.69408,9516.013647,22991.3226804,24034.3179772,217084.631656258,0,0,311492.15020689,0,0,16790.00542,235665.21145148,0,0,0,0,446673.8447,480621.416864,219995.007375,100985.62729699,47630.86667772,43261.6904991,0,85603.138888276,128893.8603517,0,0,0,0,0,0,15040.87961,0,0,0,315200.12851398,205892.017536344,2481.466905016,0,0,63036.553455,347843.63128,94411.217582,0,0,0,1439.268028,0,0,0,379771.14231985,1267017.90913252,657283.15279,0,0
"7","L-11-1",0,0,0,0,227264.081537,2280333.95072,165473.108726,49972.92517,0,0,0,0,0,0,15563.449788,281583.596042,0,0,0,0,0,0,0,0,0,179062.556327,9980.975659,0,0,0,0,0,0,0,0,33885.6287,68194.996087,0,39612.515176,0,0,0,0,0,0,97242.954855,226410.6456942,292479.811842408,21126.93767,0,0,0,0,0,0,4836.39076048,0,0,0,0,0,0,0,0,13980.174021,38527.68349,0,0,0,0,0,0,0,0,1527.75308222,16873.333456,190520.8854521,0,0,15040.41874033,0,0,0,148161.07384,0,0,0,0,647591.43654,105060.832001,0,180106.718223,36724.1358745,29804.824204,0,32018.7359312,22080.545985,0,0,0,0,0,0,0,0,0,0,0,40323.83433232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248633.231784,0,0,0
"8","L-11-2",0,0,0,4703.661703,152934.16165089,878020.002112,8723.0142999,7052.625288,0,0,0,0,0,0,18518.384902,61955.686755,1137.231634,44967.21155852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083.479686,35760.83314873,32044.5301622,0,49942.11537797,0,0,0,0,0,21748.25021,702781.7251,533951.4087255,50422.539072,0,0,0,0,0,0,134067.574023,16773.30545252,18011.995748,0,0,0,0,0,0,0,0,105642.221908973,0,0,0,0,0,0,1902.504227,4619.93376,4343.2517697,52929.4127036,179199.26698462,0,0,3097.23676333,0,0,0,580567.871182,0,0,0,0,241016.0065146,149253.5757053,0,94788.1676832,24064.8471993,47576.797363,0,42254.6874334,205419.261248,0,0,0,0,0,0,17858.980546,0,0,0,145440.3358668,642458.656917,3596.44519671,0,0,0,3663.990454,212325.782248,0,0,0,0,0,0,0,32271.67907738,112877.63809,78231.4469501,0,0
"9","L-11-3",0,0,0,0,440259.005639,1950280.909198,82900.492333,0,0,0,0,0,0,0,0,735946.859961,0,45781.92529,0,0,0,0,0,0,72318.68288,196642.6209,64542.905211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119608.596817,152555.630049,170442.705783,155846.535638,0,0,0,0,0,0,0,43533.6564746,0,0,0,0,0,0,0,0,11158.38656,0,0,0,0,0,0,0,0,0,0,0,104728.576116,0,0,1418.63155058,0,0,0,10816.79336,0,0,0,0,220625.995526,21213.479719,0,200518.6884683,44187.88829643,0,0,4868.1802766,4563.94625,0,0,0,0,0,0,5647.6870862,0,0,0,0,671511.653209,0,0,0,0,228079.420024,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","L-11-4",0,0,0,0,116404.9942052,673887.1832179,38067.073486,11397.4029131,0,0,0,0,0,0,5604.051959,73351.211442,24386.2281606,0,0,0,0,0,0,0,11795.424788,0,0,0,0,0,0,0,0,0,0,19506.275224,18028.0753681,0,9577.997114,0,0,0,0,4949.345514,5962.1801966,250033.76797,305692.497922,12626.332503,0,0,0,0,0,0,22603.396812,96088.6878419,83639.2827277,0,0,0,0,0,0,0,7575.5800221,111514.65999,0,0,0,0,27.39478433,0,0,0,13848.475224,89873.0703265,110854.610879,0,0,686.36415448,0,0,0,2017429.22723,0,0,0,0,137030.216855,88484.9204559,0,75883.12086751,24954.3203703,13362.998488166,0,84350.6928474,81783.0266,0,0,0,0,0,0,89567.176617,0,0,0,246772.3159794,377293.056505,9789.3880954,0,0,2827.972878,2216.8046292,161965.7789,0,0,0,0,0,0,0,7763.09654829,94386.61435,126157.722687293,0,0
