"","L2x2","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum","PropConifer.600.2017","PropWet.600.2017","TotalForest","Wt.For.Age.600.2017","PropSoftLinear.600.2017","PropHardLinear.600.2017","PropSoftPoly.600.2017","PropHardPoly.600.2017","zerolndscp"
"1","L-10-1",0,0,0,692113.9095,0,3702.133819,0,27601.2787,0,0,0,0,0,0,0,0,0,92065.13294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72607.419,10177.62138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6788.710151,0,0,0,0,0,0,0,0,0,0,0,0,13581.554259,131844.64714,31505.32879,31088.83798,82331.88285,0,0,234256.080174312,0,0,0,0,0,0,0,0,0,0,0,0,6083.670103,0,0,4251.8107839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622039934243056,0.369025723155772,905056.20549,57.3543899894884,0.00717741728256944,0,0,0,"-1"
"2","L-10-10",0,0,0,0,0,0,0,0,83864.854542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648833.87077,0,387190.15945,3364.498351,136054.73267,0,0,0,25802.47806,0,0,0,0,0,0,0,0,1303.811299,351.4020699,0,0,0,0,0,110643.516,0,0,0,0,0,0,0,0,10000.0163531,0,0,0,27053.285072,0,0,5537.4397534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816280042528472,0.912183658798542,1285110.593843,103.790673883835,0.0226324477954167,0,0.00694445580076389,0,"10"
"3","L-10-11",0,0,0,0,92974.94678,0,0,0,0,0,0,0,0,0,0,0,0,721.824419,0,0,0,0,0,47605.47846,0,0,0,258941.22265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11635.16127,0,0,0,0,0,0,0,0,0,0,6539.988079,322774.09631,0,67962.13694,138956.28208,0,0,0,0,0,0,0,0,0,0,0,0,237422.852678,59052.29273,13076.9462725,104400.37244,55300.88107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17585.8332395,0,0,5049.6489039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593343309575694,0.706334034631597,948111.136988,109.574395024446,0.0157190848218056,0,0,0,"11"
"4","L-10-12",0,0,0,0,15374.75571,151146.4814975,0,0,0,0,0,0,0,0,0,0,0,209843.008946,0,0,0,0,0,0,0,0,0,22615.34204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16097.87578,0,33270.575125,0,0,0,0,0,0,0,0,0,106750.3871672,0,0,146703.178204,0,0,0,0,0,0,0,0,0,0,0,0,236308.335012,48397.76923,0,180266.06264,96987.90058,0,0,150147.879,0,0,0,0,0,0,0,0,0,0,0,0,18809.946178,0,0,7280.4156865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225998165497361,0.70481247412375,701801.6044697,113.065690879032,0.0181183068503472,0,0,0,"12"
"5","L-10-13",0,0,0,148649.31071,110471.29255,21937.45393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76112.80071,0,0,0,0,0,0,0,0,0,466766.53978,0,0,86583.61529,0,0,0,0,0,0,0,0,0,0,0,0,99101.67836,6015.141634,0,294645.945814,25495.305069683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25254.378151,0,0,1055.733252,0,0,0,0,77910.82389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437127052625,0.732445157401169,910521.01297,90.5751296416454,0.0182709106965278,0,0,0.0541047388125,"13"
"6","L-10-14",0,0,0,0,9699.275874,5300.928274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80398.7522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341727.24947,0,289154.9314,0,114758.70184,0,0,0,0,0,0,0,0,0,0,0,0,447359.27788,0,1337.6487599,0,0.187700437,0,0,1320.6368959,0,0,0,0,0,0,0,0,12876.70001,0,0,0,18735.60688,0,0,0,0,0,0,0,117330.30601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573638635354167,0.830318495795998,841039.839058,102.525606947394,0.0130108381111111,0,0.00894215278472222,0.0814793791736111,"14"
"7","L-10-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446370.801352,0,478672.65674796,317744.66777,113077.93289,0,0,0,0,0,0,0,0,0,0,0,0,62598.44861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21535.226365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941573651916639,0.985044796784694,1355866.05875996,114.854343216275,0.0149550183090278,0,0,0,"15"
"8","L-10-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225495.80564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9927.2585,0,0,0,0,0,0,0,0,0,0,187751.4223,744522.82477,127837.468686,0,135916.88626045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2732.7163819,0,0,5815.73193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99406365705309,0.837469347580868,1431451.66615645,107.733100696211,0.00593642243881944,0,0,0,"16"
"9","L-10-17",0,0,0,212827.84035,193548.57472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127728.783936,0,0,24819.42553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246172.0704,0,135005.2101,0,0,0,0,0,0,0,0,85902.581587,38297.471453867,0,0,189245.71949,0,0,0,0,0,0,0,0,0,0,0,0,22698.866766869,0,86.68728364,63413.38077,88013.82148,0,0,434.2263551,0,0,0,0,0,0,0,0,0,0,0,0,1806.118138,0,0,9999.293862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588313376733935,0.603659747004497,1253547.67756687,79.7897056583007,0.00819820277777778,0,0,0,"17"
"10","L-10-18",0,0,0,59126.96528,30847.79973,133468.723138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27698.54926,0,0,0,0,0,0,0,0,155393.40478,607472.33433,0,0,40958.06921,0,0,0,0,0,0,0,0,0,0,0,0,197286.023857,14453.981144,23493.31425,19753.09186,98788.39281,0,0,3841.4029652,0,0,0,0,0,0,0,0,0,0,0,0,19562.136811,0,0,7855.587366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577446081652778,0.825790669768194,1054965.845728,92.3208051288433,0.0190400862340278,0,0,0,"18"
