"","L3x3","X1_sum","X2_sum","X3_sum","X4_sum"
"1","L-1-0",3,4,2,1
"2","L-1-1",4,4,2,0
"3","L-1-2",1,2,3,2
"4","L-1-3",1,0,1,1
"5","L-1-4",1,1,1,0
"6","L-1-5",3,2,1,1
"7","L-1-6",1,1,0,0
"8","L-1-7",1,3,1,1
"9","L-1-8",1,1,0,0
"10","L-1-9",0,2,2,3
"11","L-10-0",21,18,21,16
"12","L-10-1",5,5,8,1
"13","L-10-2",10,9,9,4
"14","L-10-3",4,8,9,5
"15","L-10-4",2,5,2,0
"16","L-10-5",4,5,11,1
"17","L-10-6",5,9,2,5
"18","L-10-7",5,4,5,2
"19","L-10-8",7,10,7,1
"20","L-10-9",9,8,10,9
"21","L-11-0",7,6,11,8
"22","L-11-1",4,6,8,3
"23","L-11-2",5,4,7,5
"24","L-11-3",2,3,5,1
"25","L-11-4",6,3,5,6
"26","L-11-5",2,3,6,4
"27","L-11-6",7,4,8,2
"28","L-11-7",4,4,5,0
"29","L-11-8",0,1,1,0
"30","L-11-9",1,1,0,1
"31","L-12-0",6,5,7,8
"32","L-12-1",6,5,5,3
"33","L-12-2",1,1,2,3
"34","L-12-3",3,4,5,5
"35","L-12-4",1,4,4,0
"36","L-12-5",3,3,2,2
"37","L-12-6",4,6,1,2
"38","L-12-7",5,3,5,3
"39","L-12-8",3,3,0,1
"40","L-12-9",4,7,2,2
"41","L-13-0",14,13,9,10
"42","L-13-1",12,12,13,9
"43","L-13-2",8,11,7,5
"44","L-13-3",3,3,0,1
"45","L-13-4",12,6,13,11
"46","L-13-5",6,7,6,10
"47","L-13-6",7,4,7,5
"48","L-13-7",7,9,13,11
"49","L-13-8",7,4,7,2
"50","L-13-9",5,8,8,7
"51","L-14-0",11,10,8,11
"52","L-14-1",13,8,10,6
"53","L-14-2",14,15,15,13
"54","L-14-3",13,16,15,13
"55","L-14-4",9,14,11,10
"56","L-14-5",8,9,12,5
"57","L-14-6",13,11,12,13
"58","L-14-7",6,7,7,6
"59","L-14-8",8,4,8,6
"60","L-14-9",8,6,9,6
"61","L-15-0",12,9,13,13
"62","L-15-1",7,7,7,4
"63","L-15-2",3,3,3,4
"64","L-15-3",7,7,4,2
"65","L-15-4",3,2,3,2
"66","L-15-5",5,8,2,2
"67","L-15-6",1,2,4,6
"68","L-15-7",4,5,1,3
"69","L-15-8",5,3,6,7
"70","L-15-9",4,5,3,2
"71","L-16-0",1,1,1,1
"72","L-16-1",0,0,0,0
"73","L-16-2",0,0,0,1
"74","L-16-3",1,0,0,0
"75","L-16-4",0,0,0,0
"76","L-16-5",0,0,1,0
"77","L-16-6",0,0,0,0
"78","L-16-7",0,0,0,0
"79","L-16-8",0,1,0,0
"80","L-16-9",1,0,0,1
"81","L-17-0",1,2,0,0
"82","L-17-1",2,1,2,1
"83","L-17-2",2,1,2,0
"84","L-17-3",1,1,1,0
"85","L-17-4",1,5,1,1
"86","L-17-5",3,0,1,0
"87","L-17-6",0,1,0,1
"88","L-17-7",1,0,1,2
"89","L-17-8",1,1,0,0
"90","L-17-9",0,1,2,0
"91","L-18-0",4,7,3,1
"92","L-18-1",0,0,0,0
"93","L-18-2",0,0,1,0
"94","L-18-3",1,2,0,0
"95","L-18-4",0,0,0,1
"96","L-18-5",0,1,0,0
"97","L-18-6",0,0,3,0
"98","L-18-7",4,2,2,2
"99","L-18-8",0,1,2,1
"100","L-18-9",0,1,0,0
"101","L-19-0",0,2,3,2
"102","L-19-1",0,0,0,0
"103","L-19-2",2,1,3,0
"104","L-19-4",0,4,3,2
"105","L-19-5",5,3,7,8
"106","L-19-6",3,2,1,0
"107","L-19-7",0,0,1,1
"108","L-19-8",1,2,1,1
"109","L-2-0",14,4,11,6
"110","L-2-1",1,5,6,5
"111","L-2-2",9,10,6,5
"112","L-2-3",0,1,3,5
"113","L-2-4",2,4,3,4
"114","L-2-5",0,1,0,0
"115","L-2-6",5,9,5,5
"116","L-2-7",3,2,2,2
"117","L-2-8",0,3,1,2
"118","L-2-9",7,5,6,2
"119","L-3-0",9,13,10,4
"120","L-3-1",1,0,0,0
"121","L-3-2",2,3,1,4
"122","L-3-3",5,5,1,2
"123","L-3-4",5,6,5,0
"124","L-3-5",3,4,3,1
"125","L-3-6",5,1,0,4
"126","L-3-7",3,4,1,1
"127","L-3-8",0,1,0,0
"128","L-3-9",6,6,5,1
"129","L-4-0",4,9,2,2
"130","L-4-1",2,1,3,1
"131","L-4-2",3,3,3,2
"132","L-4-3",1,0,3,2
"133","L-4-4",6,3,6,1
"134","L-4-5",4,6,6,1
"135","L-4-6",4,5,5,1
"136","L-4-7",3,4,3,1
"137","L-4-8",5,5,7,3
"138","L-4-9",2,2,2,1
"139","L-5-0",6,7,11,6
"140","L-5-1",3,1,4,3
"141","L-5-2",3,3,5,2
"142","L-5-3",1,4,2,2
"143","L-5-4",3,4,5,2
"144","L-5-5",1,1,1,1
"145","L-5-6",0,3,7,6
"146","L-5-7",3,1,2,0
"147","L-5-8",1,3,1,3
"148","L-5-9",4,3,2,4
"149","L-6-0",11,11,9,8
"150","L-6-1",3,4,5,4
"151","L-6-2",1,3,3,6
"152","L-6-3",5,2,3,3
"153","L-6-4",0,2,0,5
"154","L-6-5",3,3,3,2
"155","L-6-6",1,4,4,1
"156","L-6-7",6,3,4,6
"157","L-6-8",3,6,2,5
"158","L-6-9",7,6,3,4
"159","L-7-0",8,7,10,6
"160","L-7-1",2,6,1,3
"161","L-7-2",7,3,5,2
"162","L-7-3",3,4,1,2
"163","L-7-4",5,6,8,4
"164","L-7-5",3,4,6,7
"165","L-7-6",5,6,5,5
"166","L-7-7",6,7,7,6
"167","L-7-8",7,7,9,4
"168","L-7-9",7,11,8,8
"169","L-8-0",22,21,31,26
"170","L-8-1",9,7,7,7
"171","L-8-2",9,8,10,4
"172","L-8-3",9,8,10,9
"173","L-8-4",12,12,16,11
"174","L-8-5",2,3,7,9
"175","L-8-6",6,10,11,10
"176","L-8-7",9,10,8,11
"177","L-8-8",4,8,7,8
"178","L-8-9",7,6,9,10
"179","L-9-0",6,5,3,3
"180","L-9-1",2,3,2,0
"181","L-9-2",4,3,2,3
"182","L-9-3",9,2,7,5
"183","L-9-4",3,1,2,2
"184","L-9-5",4,4,3,5
"185","L-9-6",2,3,2,1
"186","L-9-7",9,8,7,5
"187","L-9-8",7,2,2,1
"188","L-9-9",3,3,1,0
