"","L2x2","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum","PropConifer.600.2016","PropWet.600.2016","TotalForest","Wt.For.Age.600.2016","PropSoftLinear.600.2016","PropHardLinear.600.2016","PropSoftPoly.600.2016","PropHardPoly.600.2016","zerolndscp"
"1","L-10-1",0,0,0,692113.892413696,0,3702.13256260289,0,27601.2754040215,0,0,0,0,0,0,0,0,0,92065.1321282586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72607.41900251,10177.6213814146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6788.70883166924,0,0,0,0,0,0,0,0,0,0,0,0,13581.5563357317,131844.651262664,31505.3297522597,31088.8378865259,82331.8845088635,0,0,234256.038913728,0,0,0,0,0,0,0,0,0,0,0,0,6083.6837011546,0,0,4251.81288744009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622039925108291,0.369025699646835,905056.181724173,57.3543898519412,0.00717742818652409,0,0,0,"-1"
"2","L-10-10",0,0,0,0,0,0,0,0,83864.8483075879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648834.243573111,0,387190.151398877,3364.49923984936,136054.732855542,0,0,0,25802.478057193,0,0,0,0,0,0,0,0,1303.81129861527,351.402069887214,0,0,0,0,0,110643.523269082,0,0,0,0,0,0,0,0,9999.58904515884,0,0,0,27053.3338226166,0,0,5537.44788967324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816280296574569,0.912183917890387,1285110.95343216,103.790666738388,0.0226324873002013,0,0.00694415905913808,0,"10"
"3","L-10-11",0,0,0,0,92974.9445253514,0,0,0,0,0,0,0,0,0,0,0,0,721.824418962871,0,0,0,0,0,47605.4784596043,0,0,0,258941.219884171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11635.1612658715,0,0,0,0,0,0,0,0,0,0,6539.98807871894,322774.113683211,0,67962.1369388817,138956.280397444,0,0,0,0,0,0,0,0,0,0,0,0,237422.873770722,59052.2916479131,13076.9481031678,104400.381110051,55300.8784403028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17585.8197672986,0,0,5049.6470550694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593343318547154,0.706334064886308,948111.147652215,109.574394847211,0.0157190741822,0,0,0,"11"
"4","L-10-12",0,0,0,0,15374.7558244598,151146.491677232,0,0,0,0,0,0,0,0,0,0,0,209843.009309774,0,0,0,0,0,0,0,0,0,22615.3427751276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16097.8757809503,0,33270.5761949661,0,0,0,0,0,0,0,0,0,106750.387180064,0,0,146703.185005162,0,0,0,0,0,0,0,0,0,0,0,0,236308.322244463,48397.7704307597,0,180266.060497633,96987.9020647636,0,0,150147.877772864,0,0,0,0,0,0,0,0,0,0,0,0,18809.9498090067,0,0,7280.41220436126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225998171483521,0.704812470258074,701801.623747736,113.065690836222,0.0181183069537277,0,0,0,"12"
"5","L-10-13",0,0,0,148649.881426667,110471.315177452,21937.4639340647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76112.7997562478,0,0,0,0,0,0,0,0,0,466766.539658204,0,0,86583.6272668198,0,0,0,0,0,0,0,0,0,0,0,0,99101.6529821125,6015.14163391226,0,294645.951817804,25495.2262653271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25254.3810731404,0,0,1055.73325202539,0,0,0,0,77910.3610956553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437127060195327,0.732445096791963,910521.627219455,90.5750979671108,0.0182709127258095,0,0,0.0541044174275384,"13"
"6","L-10-14",0,0,0,0,9699.30165203259,5300.94016023918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80400.017310567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341727.247764656,0,289154.931130599,0,114758.686083569,0,0,0,0,0,0,0,0,0,0,0,0,447359.263128961,0,1337.64875985695,0,0,0,0,1320.63270395641,0,0,0,0,0,0,0,0,12875.7954572091,0,0,0,18735.2655891343,0,0,0,0,0,0,0,117330.468339249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573639501589855,0.830318339980277,841041.124101663,102.525540321103,0.0130106011035655,0,0.00894152462306188,0.0814794919022565,"14"
"7","L-10-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446370.777454644,0,478672.651809314,317744.651406902,113077.937179875,0,0,0,0,0,0,0,0,0,0,0,0,62598.44861177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21535.2481765279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941573623507455,0.98504476837674,1355866.01785073,114.854343651217,0.0149550334559222,0,0,0,"15"
"8","L-10-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225495.809791154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9927.25677174184,0,0,0,0,0,0,0,0,0,0,187751.417271877,744522.821860497,127837.476304718,0,135916.881648239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2732.71945368284,0,0,5815.7236718823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994063655311269,0.837469342956301,1431451.66364823,107.733100799431,0.00593641883719802,0,0,0,"16"
"9","L-10-17",0,0,0,212827.837795829,193548.570512276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127728.784728138,0,0,24819.4542357942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246172.076627338,0,135005.206699567,0,0,0,0,0,0,0,0,85902.5867367676,38297.4637778831,0,0,189245.718139769,0,0,0,0,0,0,0,0,0,0,0,0,22698.8667662499,0,86.6872836373616,63413.3807722522,88013.8196895946,0,0,434.226355088499,0,0,0,0,0,0,0,0,0,0,0,0,1806.11844452513,0,0,9999.27840780723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588313396489762,0.603659745033436,1253547.69925336,79.7897063516746,0.00819819225856414,0,0,0,"17"
"10","L-10-18",0,0,0,59126.9455252118,30847.8024976534,133468.717570163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27698.5487095199,0,0,0,0,0,0,0,0,155393.400121239,607472.387946625,0,0,40958.071383699,0,0,0,0,0,0,0,0,0,0,0,0,197286.031850137,14453.9810837088,23493.3130317626,19753.09186278,98788.3928115276,0,0,3841.39806654725,0,0,0,0,0,0,0,0,0,0,0,0,19567.9892085622,0,0,7849.72483840794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57744611677853,0.825790706158019,1054965.87375411,92.3208066689433,0.0190400791992848,0,0,0,"18"
