"","L5x5","X1_sum","X2_sum","X3_sum","X4_sum"
"1","L-1-1",5,5,3,1
"2","L-1-2",6,5,4,3
"3","L-1-3",3,4,2,1
"4","L-1-4",2,6,4,4
"5","L-10-1",16,16,21,5
"6","L-10-2",14,24,21,12
"7","L-10-3",17,14,17,8
"8","L-10-4",25,27,25,19
"9","L-11-1",10,10,19,12
"10","L-11-2",10,11,17,6
"11","L-11-3",12,10,12,5
"12","L-11-4",6,4,8,7
"13","L-12-1",8,11,9,4
"14","L-12-2",9,11,8,12
"15","L-12-3",6,7,9,3
"16","L-12-4",13,12,7,10
"17","L-13-1",32,28,30,28
"18","L-13-2",13,7,8,7
"19","L-13-3",19,17,23,20
"20","L-13-4",17,25,22,16
"21","L-14-1",33,32,33,21
"22","L-14-2",37,37,33,32
"23","L-14-3",15,18,19,13
"24","L-14-4",18,13,22,23
"25","L-15-1",12,14,9,7
"26","L-15-2",15,16,16,15
"27","L-15-3",13,10,11,11
"28","L-15-4",11,11,10,12
"29","L-16-1",0,0,0,1
"30","L-16-2",1,0,1,1
"31","L-16-3",1,0,1,0
"32","L-16-4",1,2,0,1
"33","L-17-1",6,4,5,1
"34","L-17-2",3,2,2,1
"35","L-17-3",2,4,1,3
"36","L-17-4",1,3,2,0
"37","L-18-1",0,0,1,0
"38","L-18-2",4,7,4,0
"39","L-18-3",5,3,4,4
"40","L-18-4",0,4,2,1
"41","L-19-1",4,3,8,4
"42","L-19-2",6,3,4,4
"43","L-19-3",1,8,7,6
"44","L-19-4",0,0,0,0
"45","L-2-1",11,18,13,12
"46","L-2-2",9,11,8,11
"47","L-2-3",5,2,5,3
"48","L-2-4",16,13,17,10
"49","L-3-1",7,10,5,5
"50","L-3-2",13,9,3,6
"51","L-3-3",6,7,6,1
"52","L-3-4",13,17,12,5
"53","L-4-1",9,7,9,3
"54","L-4-2",7,8,9,3
"55","L-4-3",12,17,14,7
"56","L-4-4",6,6,8,2
"57","L-5-1",7,6,12,5
"58","L-5-2",1,8,7,8
"59","L-5-3",6,4,5,2
"60","L-5-4",11,12,16,14
"61","L-6-1",4,11,9,14
"62","L-6-2",12,7,10,7
"63","L-6-3",10,10,8,11
"64","L-6-4",14,16,9,12
"65","L-7-1",11,13,10,9
"66","L-7-2",12,13,11,11
"67","L-7-3",13,13,19,14
"68","L-7-4",17,22,20,13
"69","L-8-1",21,18,25,21
"70","L-8-2",27,29,32,24
"71","L-8-3",19,23,24,24
"72","L-8-4",22,23,35,36
"73","L-9-1",7,7,6,10
"74","L-9-2",14,4,9,5
"75","L-9-3",23,17,14,8
"76","L-9-4",5,6,2,2
