"","L3x3","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum"
"1","L-10-0",0,0,0,0,380384.85929,699270.105559212,0,0,88127.663851,0,0,0,0,0,0,0,0,0,49195.4842184,0,0,0,0,23236.80906,97726.042879,0,0,5543.215495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26042.90825,40889.003033275,3.639259921,1701033.0135647,847455.17077157,481548.8986193,597552.57413138,725247.9360459,0,0,0,25802.47806,209751.727003,0,0,0,0,0,0,44379.65868,36404.394218621,20014.878422,7304.989512,20121.969335,158843.552103606,0,0,107952.4368191,0,0,0,0,0,0,0,0,0,0,0,0,69184.584509219,0,0,36226.3831815,0,0,69163.844446,0,258074.665083,13517.516541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","L-10-1",0,0,0,892244.42705,26178.74968,3702.133819,0,77273.04862,0,0,0,0,0,0,0,0,0,226377.9738867,0,0,0,0,0,74622.487387,0,0,0,65269.02923,0,0,0,0,0,0,0,0,76419.214906,109205.59462,0,0,0,0,0,0,0,0,0,0,17095.47708,0,0,0,0,0,0,0,0,0,91494.73506,144789.006021,0,0,0,0,27981.69554,0,0,0,0,0,0,0,589242.112709,279066.231839,71213.549155,95403.418941,116608.289177,0,0,235893.551777772,0,0,0,0,0,0,0,0,0,0,0,0,13601.7969643,0,0,6317.5266613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","L-10-2",0,0,0,38531.0762,146502.940831,0,0,19277.57964,0,0,0,0,0,0,0,0,0,73424.71029,0,0,0,0,0,2803.9248888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14173.9329,123507.0461684,0,23863.890929,951515.09534,0,0,0,31882.580615,0,0,0,0,0,0,0,0,844738.48346,217291.9439,16696.234977,91661.11874,131541.926844,0,0,470659.95779952,0,0,0,0,0,0,0,0,0,0,0,0,30169.177269,0,0,11758.4322267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","L-10-3",0,0,0,0,195671.14965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101452.9903,0,0,733788.07175173,8409.402211,27662.193918,60609.23038,320678.13192,0,0,0,0,0,0,0,0,0,0,0,0,586782.609709,61365.9343907,21584.448822,1246.180637,4357.10579,0,0,1092576.19862,0,0,0,0,0,0,0,0,510.6191301,0,0,0,11107.072064,0,0,12198.6176834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","L-10-4",0,0,0,934.5243684,181059.37238,151031.2038,0,22513.51034,0,0,0,0,0,21610.04086,0,0,0,185122.530709,0,0,0,0,0,252875.094064,0,0,0,373759.328922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27733.03705,0,31724.57174,0,0,0,0,0,0,0,0,6539.988079,389053.7129,0,94830.0378617,154616.309184,0,0,0,40148.86638,37529.41848,0,0,0,0,0,0,0,613696.24518,142943.125174,30561.0399775,275430.787249,152290.126091632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38039.8965515,0,0,15957.0742804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","L-10-5",0,0,0,148649.31071,125802.75268,22052.7316275,0,1422.303214,0,0,0,0,0,63906.4312056,0,0,0,27169.629246,0,0,0,0,0,7505.455802,0,0,0,1233.418064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79115.698759,0,0,0,0,0,0,0,0,0,588527.6780162,0,0,417804.454022,0,0,0,47923.32824,0,0,0,0,0,0,0,0,663877.623652,187267.721084,899.9982796,452194.612984,125607.064389683,0,0,150629.1594414,0,0,0,0,0,0,0,0,0,0,0,0,45564.89465,0,0,3021.4691467,0,0,0,0,79824.314961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","L-10-6",0,0,0,0,95244.100644,5300.928274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86188.664079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697063.043592,0,1001141.870515,157989.21049,360692.70208,0,0,0,0,0,0,0,0,0,0,0,0,522220.259277,1393.166048,1337.6487599,12159.95808,2501.450476437,0,0,64056.7765159,0,0,0,0,0,0,0,0,22366.097233,0,0,0,52704.868989,0,0,6465.672953,0,0,0,0,151173.54422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","L-10-7",0,0,0,113011.07916,66120.37449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39592.798,14499.750736,0,0,419645.61582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262803.178592,0,135005.2101,0,0,0,0,0,0,0,0,586655.344677,1151673.22779,146801.117886,0,280450.14277045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3274.5448087,0,0,20467.6673232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","L-10-8",0,0,0,158943.72647,334152.04883,133468.723138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181608.25462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27698.54926,0,0,0,0,0,0,0,0,190070.251138,961820.176203867,0,0,288268.62355,0,0,0,0,1501.316205,0,0,0,0,0,0,0,252125.323063869,20485.845975,69132.75730964,95825.576773,306017.77842,0,0,166096.9102303,0,0,0,0,0,0,0,0,0,0,0,0,35902.34865,0,0,16881.8920186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","L-10-9",0,0,0,0,1274.31317946,279542.232331356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044068657,0,0,0,0,0,0,0,0,0,0,612967.8553837,41547.97868,356663.273179,170561.51928,655149.33727,0,0,0,0,30725.44114,0,0,0,0,0,0,0,840660.119383,35523.3362427,1129.0081013,46016.835619,103183.859372955,0,0,1592.6967585,0,0,0,0,0,0,0,0,0,0,0,0,38964.6366134,0,0,15454.9618913,0,0,0,0,9042.468095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","L-11-0",0,0,0,0,1482449.242506,1573834.32008,0,0,0,0,0,0,0,0,40329.462467,96525.090538,41224.292845,0,0,0,0,0,0,0,0,127544.86259,5825.48914261,0,0,0,0,0,0,0,75949.615189,129287.38843795,75106.873575618,96730.6905143,87455.21927,0,0,0,0,0,55211.457608,163732.7375083,186616.2144237,54004.54340565,17.51793473,8.411250241,0,0,0,0,0,3211.1145838,90.00772478,46.3531425,24.30279564,16.72766064,0,0,0,0,26937.271036,51458.3378708,69034.717001,165.6580069,122.5770287,96.61682154,4780.646975,0,8879.228474,1128.594103,341.6875298,12183.4167872,110534.629138958,0,0,293708.08271656,0,0,16790.00542,0,0,0,0,0,146398.333874,219439.7889954,134452.366672,29210.5143178,29882.3956084,19990.565703,0,55582.809603002,43574.71213,0,0,0,0,0,0,0,0,0,0,1521.013924,85704.101753244,40.05724967,0,0,0,30818.26649,81959.7853,0,0,0,0,0,0,0,0,929082.594482918,140939.69372,0,0
"12","L-11-1",0,0,0,0,27012.504965,1406257.34389,23144.12072,0,0,0,0,0,0,0,0,236911.510878,0,0,0,0,0,0,0,0,0,103479.22035,0,0,0,0,0,0,0,0,0,33885.6287,63572.834073,0,26623.028716,0,0,0,0,0,0,25779.681145,47629.1498342,180813.433275,21126.93767,0,0,0,0,0,0,2012.81379418,0,0,0,0,0,0,0,0,13980.174021,16845.04016,0,0,0,0,0,0,0,0,519.23961522,14962.088502,114509.9637491,0,0,7198.09231763,0,0,0,127487.90201,0,0,0,0,270119.65312,47038.609002,0,115291.210007,22958.51393,22533.915549,0,9025.1038612,6515.186019,0,0,0,0,0,0,0,0,0,0,0,11723.715551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241043.34235,0,0,0
"13","L-11-2",0,0,0,0,34432.066398,494381.115923,108096.1018439,4828.912175,0,0,0,0,0,0,1254.158052,60517.931415,0,0,0,0,0,0,0,0,0,9888.061989,0,0,0,0,0,0,0,0,0,11413.49166,7893.429339,0,49942.11537797,0,0,0,0,0,21748.25021,597848.51827,491631.77793,143156.686469408,0,0,0,0,0,0,21725.132993,1960.87922672,0,0,0,0,0,0,0,0,0,6589.88365,0,0,0,0,0,0,0,0,3194.0352697,34895.7480942,148393.962039,0,0,8123.21637893,0,0,0,16323.661214,0,0,0,0,255452.485826,111522.198885,0,64488.797813,25737.1607667,14452.94115,0,30614.6778639,57964.164088,0,0,0,0,0,0,13871.999884,0,0,0,0,259006.54830732,0,0,0,0,0,8182.181715,0,0,0,0,0,0,0,0,120467.527524,0,0,0
"14","L-11-3",0,0,0,0,245254.87581189,542884.572114,0,0,0,0,0,0,0,0,17264.22685,36486.089704242,11054.270243,42468.9957472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39621.782573,31659.78140873,20729.8179927,0,0,0,0,0,0,0,0,224319.890011,48795.825096,0,0,0,0,0,0,0,112342.44103,16720.440238,0,0,0,0,0,0,0,0,0,58017.973253973,0,0,0,0,0,0,1902.504227,4619.93376,2157.729967,1514.3866434,23493.5851673,0,0,1070.1465239,0,0,0,419472.54445048,0,0,0,0,111533.058215,144311.1166263,61001.76851,39711.71628219,1575.89973792,47490.9465561,0,14784.73663014,180738.7197857,0,0,0,0,0,0,0,0,0,0,71733.9626281,67765.629509,2200.64479087,0,0,63036.553455,3663.990454,164959.13192,0,0,0,0,0,0,0,247106.82864463,0,116533.4590321,0,0
"15","L-11-4",0,0,0,0,489029.07827,1430336.19049,6070.345546,0,0,0,0,0,0,0,15563.449788,342386.831892,0,0,0,0,0,0,0,0,60120.62154,167890.970118,53376.791299,0,0,0,0,0,0,0,0,0,1976.721902,0,12989.48646,0,0,0,0,0,10164.26571,21452.65797,121941.02804,24950.19634,0,0,0,0,0,0,0,240.2119394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29497.7438261,0,0,1798.62434108,0,0,0,0,0,0,0,0,245807.48959,33158.167856,0,136061.722491,34727.66064,0,0,459.7221456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","L-11-5",0,0,0,4703.661703,129837.738614,570708.126078,46536.058095,52196.638283,0,0,0,0,0,0,5604.051959,19720.94349,0,35346.03741432,0,0,0,0,0,0,1551.458458,0,0,0,0,0,0,0,0,0,0,18988.77299,0,0,0,0,0,0,0,0,681.0450726,68784.4993,397871.267463,35480.286266,0,0,0,0,0,0,8159.027563,36100.5014186,101197.773937,0,0,0,0,0,0,0,0,103883.67219,0,0,0,0,0,0,0,0,4824.155738,41920.338254,75056.57306262,0,0,1445.2182843,0,0,0,224400.79856,0,0,0,0,220465.70755,73483.140665,0,74054.942969,15127.082672,10297.296851,0,46029.5819305,37946.344578,0,0,0,0,0,0,12307.812727,0,0,0,107169.45634,624046.318512,992.4843003,0,0,2827.972878,0,30253.28148,0,0,0,0,0,0,0,0,0,0,0,0
