"","L3x3","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum"
"1","L-10-0",0,0,0,0,70965.91333465,152086.323035739,0,0,1113.08610696609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29357.5999932899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8376.3766878895,3.39508460752236,386072.691476779,174098.471935743,91388.2055282636,105712.263322332,129663.405762441,0,0,0,0,39470.8026873803,0,0,0,0,0,0,0,7728.40881414826,1913.33613790384,2791.22483498176,0,14610.9920076425,0,0,36443.9576546846,0,0,0,0,0,0,0,0,0,0,0,0,5541.87065758091,0,0,7307.91971048797,0,0,12470.7869445074,0,65903.0797466492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","L-10-1",0,0,0,176482.612558303,0,0,0,6165.96355503705,0,0,0,0,0,0,0,0,0,41887.4288218465,0,0,0,0,0,14902.4661124055,0,0,0,9307.08535504825,0,0,0,0,0,0,0,0,25188.3855227704,25347.8867208077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22355.5071944459,44389.4753196636,0,0,0,0,0,0,0,0,0,0,0,0,99970.3260787085,59197.9753069425,13430.5562593659,23833.3878952274,41874.2261240647,0,0,26591.8358718313,0,0,0,0,0,0,0,0,0,0,0,0,3573.07256988728,0,0,1669.40137862433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","L-10-2",0,0,0,32046.4905723648,30820.1632346514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49695.9885804778,0,0,153148.840728498,0,0,0,0,0,0,0,0,0,0,0,0,179644.480173182,36816.8703426974,3122.40633149854,9821.26927360651,20031.7909330218,0,0,113058.751149562,0,0,0,0,0,0,0,0,0,0,0,0,4121.1425919635,0,0,3839.71416427091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","L-10-3",0,0,0,0,64453.3488583964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48248.603840139,0,0,136880.878984735,0,2613.90161334384,4880.47645113724,32537.7558046129,0,0,0,0,0,0,0,0,0,0,0,0,107728.69166042,13155.7852800819,3471.6010831967,0,0,0,0,212086.030149726,0,0,0,0,0,0,0,0,0,0,0,0,5197.8869545593,0,0,4912.25916469829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","L-10-4",0,0,0,0,23849.6533351031,61239.4411889335,0,0,0,0,0,0,0,5714.99560950803,0,0,0,44268.768016802,0,0,0,0,0,31558.3868304873,0,0,0,58498.3260317377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95361.2288024347,0,21975.4627356133,33992.9232730674,0,0,0,15926.1738211964,694.89063988609,0,0,0,0,0,0,0,154723.371566689,25182.8216278873,6751.94099326219,29907.5667951471,14549.5764619521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7837.41665180615,0,0,4133.77551548176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","L-10-5",0,0,0,64793.3661159348,8492.83663306418,0,0,0,0,0,0,0,0,40982.028394591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32027.8693588885,0,0,0,0,0,0,0,0,0,96453.1323273625,0,0,89060.7187058937,0,0,0,19742.7800216311,0,0,0,0,0,0,0,0,96744.9602200792,42912.0899129245,0,80250.6425292495,15518.7660967793,0,0,39782.7191779231,0,0,0,0,0,0,0,0,0,0,0,0,8705.30914573481,0,0,700.628294143578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","L-10-6",0,0,0,0,24415.5595756852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17312.4899290287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132269.838224641,0,244301.257029161,12997.3591965499,81081.2638794268,0,0,0,0,0,0,0,0,0,0,0,0,75625.9003952658,647.159575508184,1336.97805597253,0,0,0,0,27895.6220018428,0,0,0,0,0,0,0,0,0,0,0,0,14072.0902140448,0,0,1731.28948244274,0,0,0,0,2480.6158508442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","L-10-7",0,0,0,19884.4035027565,47.095822426157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25030.4330658582,0,0,0,89891.4769383515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58308.6265649797,0,44794.0882202171,0,0,0,0,0,0,0,0,88772.4655836315,250480.737751599,12025.4421848505,0,41324.7884352133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.17940885384,0,0,4559.44682280025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","L-10-8",0,0,0,60661.3839422247,75441.2745049217,32022.8198833421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33229.5688203788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844.72968888727,0,0,0,0,0,0,0,0,6769.18872812111,197911.509783672,0,0,43340.2665309394,0,0,0,0,0,0,0,0,0,0,0,0,47662.002362552,1905.62135736835,7623.99173665435,20949.0502279683,79734.1293868948,0,0,18251.6043734736,0,0,0,0,0,0,0,0,0,0,0,0,4135.99634427592,0,0,2683.61389401603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","L-10-9",0,0,0,0,0,58233.3833400763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123624.166122065,5547.05879838517,49647.6510141333,31775.8046553559,98937.3738185638,0,0,0,0,3437.22045869566,0,0,0,0,0,0,0,198723.590095739,10863.3718496292,0,3824.29676039609,34373.1488612805,0,0,616.037180801652,0,0,0,0,0,0,0,0,0,0,0,0,14004.6109028485,0,0,2559.43232296405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
