"","L4x4","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum","PropConifer.150.2017","PropWet.150.2017","TotalForest","Wt.For.Age.150.2017","PropSoftLinear.150.2017","PropHardLinear.150.2017","PropSoftPoly.150.2017","PropHardPoly.150.2017","zerolndscp"
"30","L-15-4",0,0,0,0,0,80629.1206251345,0,0,0,0,0,0,0,0,0,20720.7855641679,0,0,0,0,0,0,0,0,283131.098687003,18825.3205137764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136472.771900889,12919.0686573183,0,0,0,0,0,0,0,36647.8721022365,307256.94040777,38789.8519888183,0,0,0,0,0,0,0,0,13946.7155642001,0,0,0,0,0,0,34892.8335177034,11038.5813215491,11155.7153895215,10802.4954953433,6467.20107362741,0,0,29968.5833248302,0,0,0,0,0,0,0,0,3692.95977287441,22154.7528875657,32668.047799562,1224.09266176874,17558.4687411622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737460652449156,0.575047022407223,949339.546011314,74.3524937674954,0.0650818522307997,0,0.0032653145831744,0,"-4"
"32","L-16-1",0,0,0,0,30302.5346606272,73431.3839194415,141571.817451782,0,0,0,0,0,0,0,36503.9831774191,40939.0188243158,24863.9575137846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67435.8874803705,19682.7088955408,6396.7746433135,0,19782.6284744893,0,0,0,0,3881.54644816177,402.692021654843,175330.009010262,34727.3334112233,6839.11218251151,30904.025510361,0,0,0,0,0,75095.5235898811,25939.6149480779,0,0,0,0,0,0,0,0,8154.34583166904,0,0,0,2699.77954034876,0,3202.88044550456,0,0,0,0,121816.068719615,0,0,1508.18730578188,0,0,0,0,0,0,0,0,53051.8287455991,17117.8324236995,0,0,24178.2446004859,11900.6154887735,0,6486.05170496771,19995.3913819777,0,0,0,0,0,0,23166.5935895032,0,0,0,0,12813.2523694599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10842.3348074136,0,0,0,0.421993403358952,0.430869043383751,848540.264712108,92.9685484131566,0.0599288750600202,0.0105225227714834,0.0469084205410234,0.0204838992414478,"-1"
"33","L-16-2",0,0,0,0,11706.5281842749,46389.6998904579,331206.019053254,46619.8937385221,0,0,0,0,0,0,2976.06615975219,53242.4073577025,69579.8278052834,0,0,0,0,0,0,0,3855.81561564979,0,0,0,0,0,0,0,0,0,0,0,65554.6481945086,7207.63774414064,0,101229.873105791,0,0,0,0,0,0,9922.41488781661,0,0,29885.359831595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.588243000501,0,0,0,17919.9447518241,0,0,0,0,15204.8658068413,48886.6052814853,0,0,7305.75640651339,14268.4131360878,0,2188.8641417687,13056.3070613144,0,0,0,0,0,0,584.202258995307,0,0,0,0,185317.076195872,0,0,0,0,21062.6951282104,0,0,0,0,0,0,0,0,0,25477.6254917786,0,0,0,0.214978500566136,0.0354770726639104,1011233.58838461,85.5049517547212,0.0631650579160486,0.0126161291639959,0.013444140501873,0.0163613645421873,"-2"
"34","L-16-3",0,0,0,0,38675.3551124514,119139.559556143,198653.117294784,44579.6898048777,114431.063375627,7375.60347608866,0,0,0,29325.5680509308,8398.5499215049,61197.2465077716,49676.1585583749,0,0,40193.7974106713,0,0,0,0,0,0,0,22696.5733599857,0,0,0,0,0,0,31715.9448444521,66003.7115776248,63722.1758136786,27279.3790639555,0,37937.9226793573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19923.3511389041,0,0,0,0,0,0,0,0,0,849.148710853508,0,0,0,0,0,0,0,0,10976.1198673704,14470.4302157694,0,0,7687.92620154309,14345.7570729035,0,389.457370216083,18930.4626444659,0,0,0,0,0,0,923.640543052742,0,0,0,0,81466.0988165362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220480286179296,0.0183670418471975,1062390.86636372,95.8812791024971,0.0366750869893476,0.0126845166635456,0.00970508385519141,0.000816682856118347,"-3"
"35","L-16-4",0,0,0,0,113720.368814745,61073.688801966,266938.892904274,52927.1475980115,0,0,0,0,0,0,25065.026649901,22754.9632254067,14672.4407079845,92957.5140405972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21684.3056988807,48228.7892095838,0,0,0,0,0,0,0,0,0,38.1120338358681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9039.7257561432,0,0,0,0,136.382300705698,0,0,706.912175802938,0,0,0,0,0,0,0,0,37900.7767263481,78505.9650206254,0,0,3005.2165367544,16623.9507479239,0,1625.67317916448,17113.3607369817,0,0,0,0,0,0,0,0,0,0,0,212826.29788653,0,0,0,0,11555.5799629314,0,0,0,0,0,0,0,0,0,21863.136496351,0,0,0,0.0811822313302534,0.000779339529521227,966306.264030999,72.1557915611331,0.0886412283601152,0.0146988952346259,0.0335118621836095,0,"-4"
"37","L-17-1",0,0,0,0,0,271487.706328187,165495.992089176,0,0,0,0,0,0,0,0,8877.64209685201,0,0,0,0,0,0,0,0,0,23753.8533469891,33852.7409775223,0,0,0,0,0,0,0,0,41104.4880003197,13104.5338423106,22101.2731329253,0,0,0,0,0,0,0,741.689749888781,81125.0246410634,0,0,0,0,0,0,0,0,0,0,23590.448253264,0,0,0,0,0,0,0,0,0,20896.3418265978,0,0,0,0,0,0,0,0,0,0,0,1522.08125608955,0,0,0,0,0,0,0,0,1118.77581825913,48917.8382812579,0,0,5949.7237136719,10249.8550528744,0,234.841685375107,8831.23731371895,0,0,0,0,0,0,9522.40841274745,0,0,0,0,95952.1782636116,40414.7949927489,0,1662.19686431059,0,0,0,0,0,0,28307.231768966,154332.288777643,0,0,0,9004.77510302271,8812.62756248844,0,0,0.388898494876419,0.113067577386856,1044617.82761789,67.5167445237129,0.0565301176109838,0.00906292059431885,0.000989221442783541,0.00841971236336676,"-1"
"38","L-17-2",0,0,0,0,21618.1723010978,339785.065766164,231052.318699154,0,0,0,0,0,0,0,0,25213.1970347504,7541.90331287988,0,0,0,0,0,0,0,0,0,43478.7356131098,0,0,0,0,0,0,0,0,17300.1868332918,42466.0311654539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6658.73232926968,0,0,1369.60420788873,0,0,0,20037.0201536498,0,0,0,0,0,5886.25115280289,0,0,4116.64704814697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243696.085249641,0,0,25491.7248078206,0,19.5475991385531,0,0,0,0,0,0,0,0,0,95232.6126163598,0,0,0,0.175493839981233,0.00709865419222011,1092895.58099886,63.36730821776,0.00884456137580605,0,0,0.0177167307891217,"-2"
"39","L-17-3",0,0,0,0,2108.2422580118,86097.8478403164,11661.9134982307,0,0,0,0,0,0,0,0,7292.73178748011,0,0,0,0,0,0,0,0,0,0,136022.634842642,0,0,0,0,0,0,0,990.502921566727,33637.1021793059,23860.8483795832,41412.5044577612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36653468203798,0,0,0,0,18.3711101753922,0,0,3437.40818219491,0,0,0,0,0,0,0,0,36729.5824824627,19806.3056408498,0,0,1866.37350322673,7956.60802129078,0,2697.69793352052,10669.848225435,0,0,0,0,0,0,1653.53005876224,0,0,0,0,11471.1631239634,104752.080008789,0,0,0,1158.62678425515,0,0,0,23218.9929891488,137857.07450733,310150.678855833,0,0,5801.1059932488,107449.879497835,1182.49333296989,0,0,0.726444312169619,0.00305559963108555,1046126.42325827,41.5856453136218,0.0309825629621332,0.0070352318471915,0.0324762923752462,0.00146205107736416,"-3"
"40","L-17-4",0,0,0,0,24386.9916168375,113960.092016641,99680.1370613543,13727.024446197,0,0,0,0,0,0,19275.8662527144,0,48769.9209517559,0,0,0,0,0,0,0,61445.2135223096,0,188844.173857754,2661.25677311366,0,0,0,0,0,0,0,0,0,0,2351.65945590758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272.47459601989,0,0,0,0,0,0,0,0,0,1927.88884358542,0,0,10056.3525780502,0,0,4866.4371928952,4301.35010582263,0,0,0,0,0,0,0,0,0,0,0,28276.8577093475,244438.369726621,6.06290433442035,0,0,1396.92644191743,0,0,0,0,98992.0634543629,96250.6915890841,0,0,0,1886.08444888981,3649.17076620514,58541.2436991946,0,0.455028318770699,0.00112512188343407,1108539.80669454,55.9138397683879,0.0187026212285369,0,0,0,"-4"
"42","L-18-1",0,0,0,0,136615.208004012,3699.61963167426,0,30718.263974232,69832.0745948543,0,0,0,0,0,0,0,0,0,24307.0004653489,0,0,0,0,0,0,0,0,0,8587.10365624733,0,0,0,0,0,0,0,0,0,79051.0725140312,0,0,0,0,0,3372.40875881894,35807.0927773356,0,0,90236.673737544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96128.5904766342,12278.2452345592,0,53989.8793435369,0,0,0,0,0,0,0,0,0,0,0,3587.59494088673,0,0,0,0,0,0,0,0,647.624561962724,6637.10285993733,0,0,11450.1171253456,4321.82961313132,0,1111.93495312567,13738.6245888264,0,0,0,0,0,0,0,0,0,0,44885.8977130345,13667.939360174,0,1515.99470552359,0,0,93867.0538769097,0,494.906577171437,0,0,0,0,41039.0379745172,0,0,78961.058209333,0,170413.751021956,0,0.448703319684043,0.261193073239439,1089468.87260745,70.8255117194629,0.0291235806622259,0.00382136121963996,0.000572629559122665,0,"-1"
