"","L2x2","X1_mean","X2_mean","X3_mean","X4_mean"
"1","L-1-1",5,6,6,6
"2","L-1-10",5,7,7,5
"3","L-1-11",5,5,5,7
"4","L-1-12",6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667
"5","L-1-13",5,5,5,5
"6","L-1-14",5,6,8.5,7.5
"7","L-1-15",6.66666666666667,7.5,6,6
"8","L-1-16",5,5,6,6
"9","L-1-17",5.5,6,6,6.75
"10","L-1-18",3.5,3.5,3.5,6
"11","L-1-19",5,5,2,5
"12","L-1-2",5,5,7.5,7.5
"13","L-1-20",4.25,5,4.75,6
"14","L-1-21",5,6,6,5
"15","L-1-22",5,6.66666666666667,6.66666666666667,8.33333333333333
"16","L-1-23",2,2,5,5
"17","L-1-24",5,5,7.5,7.5
"18","L-1-25",5.5,6.25,6.75,8
"19","L-1-3",4.75,4.75,5.5,5.5
"20","L-1-4",5,5,7,7
"21","L-1-5",5,3.5,7,7
"22","L-1-6",3.5,5,4.5,4.5
"23","L-1-7",7.5,7.5,7.5,7.5
"24","L-1-8",5,6.25,8.5,7.25
"25","L-1-9",7.5,7.5,10,10
"26","L-10-1",5.7,5.64583333333333,5.59583333333333,5.54444444444445
"27","L-10-10",5.375,5.4,5.425,5.5
"28","L-10-11",5.53333333333333,5.44444444444444,5.40555555555556,5.375
"29","L-10-12",5.40833333333333,5.3875,5.37916666666666,5.36666666666667
"30","L-10-13",5.42083333333333,5.39444444444444,5.43333333333334,NA
"31","L-10-14",5.3375,5.31666666666666,5.30833333333333,5.35555555555556
"32","L-10-15",5.39166666666666,5.375,5.38333333333333,5.35
"33","L-10-16",5.475,5.43333333333333,5.4125,5.36111111111111
"34","L-10-17",5.44583333333333,5.40833333333333,5.39166666666667,5.35
"35","L-10-18",5.425,5.40833333333333,5.39166666666667,5.35
"36","L-10-19",5.36666666666666,5.37777777777778,5.4,5.41666666666667
"37","L-10-2",5.47916666666667,5.42916666666667,5.3625,5.35555555555556
"38","L-10-20",5.375,5.36666666666667,5.35833333333333,5.36111111111111
"39","L-10-21",5.34166666666667,5.3375,5.34166666666667,5.35
"40","L-10-22",5.375,5.4125,5.4625,5.49444444444445
"41","L-10-23",5.41666666666667,5.45555555555555,5.47222222222222,5.53333333333333
"42","L-10-24",5.4375,5.47916666666667,5.5125,5.52916666666667
"43","L-10-25",5.42083333333333,5.45,5.50833333333333,5.53333333333333
"44","L-10-3",5.36666666666667,5.38333333333333,5.39444444444444,NA
"45","L-10-4",5.43333333333333,5.49166666666667,5.52916666666667,5.55
"46","L-10-5",5.36666666666667,5.39583333333333,5.4125,5.33333333333333
"47","L-10-6",5.69166666666667,5.64583333333333,5.60416666666667,5.6
"48","L-10-7",5.5625,5.45833333333333,5.425,5.39444444444444
"49","L-10-8",5.3375,5.33333333333333,5.34583333333333,5.35
"50","L-10-9",5.37916666666667,5.45555555555556,5.47222222222222,5.45
"51","L-11-1",4.66666666666667,4.70416666666667,4.7625,4.79444444444444
"52","L-11-10",4.7875,4.73333333333333,4.66666666666667,4.63888888888889
"53","L-11-11",4.64583333333333,4.69166666666667,4.77916666666667,4.79444444444444
"54","L-11-12",4.59166666666667,4.59583333333333,4.61666666666667,4.71111111111111
"55","L-11-13",4.59583333333333,4.58333333333333,4.65833333333333,4.70416666666667
"56","L-11-14",4.7625,4.69166666666666,4.66666666666667,4.65
"57","L-11-15",4.8,4.7125,4.67083333333333,4.63333333333334
"58","L-11-16",4.64583333333333,4.6875,4.7375,4.77777777777778
"59","L-11-17",4.6,4.58333333333333,4.58888888888889,4.6
"60","L-11-18",4.6,4.58333333333333,4.58333333333333,4.59166666666667
"61","L-11-19",4.76666666666666,4.68333333333334,4.64166666666667,4.61666666666667
"62","L-11-2",4.5875,4.6,4.64166666666667,4.74166666666667
"63","L-11-20",4.7875,4.7375,4.7125,4.66666666666667
"64","L-11-21",4.61666666666667,4.64166666666667,4.7,4.76666666666667
"65","L-11-22",4.59583333333333,4.58333333333333,4.58333333333333,4.58888888888889
"66","L-11-23",4.6,4.5875,4.5875,4.5875
"67","L-11-24",4.7625,4.73333333333334,4.6875,4.61666666666667
"68","L-11-25",4.7625,4.7,4.65833333333333,4.61666666666667
"69","L-11-3",4.59166666666667,4.6,4.6125,4.70833333333333
"70","L-11-4",4.825,4.72083333333333,4.69583333333333,4.64583333333333
"71","L-11-5",4.79583333333334,4.74166666666667,4.66666666666667,4.62777777777778
"72","L-11-6",4.64166666666667,4.68333333333333,4.74583333333334,4.76666666666666
"73","L-11-7",4.5875,4.5875,4.625,4.72916666666667
"74","L-11-8",4.59583333333333,4.58333333333333,4.6125,4.73333333333333
"75","L-11-9",4.79166666666667,4.76666666666667,4.70416666666666,4.65416666666667
"76","L-12-1",5.04583333333334,5.0125,4.9625,4.975
"77","L-12-10",4.85416666666667,4.85416666666667,4.87083333333333,4.9
"78","L-12-11",4.94166666666666,4.87083333333333,4.81666666666667,4.78888888888889
"79","L-12-12",4.8375,4.87916666666667,4.9125,4.85
"80","L-12-13",4.95,4.89583333333333,4.84583333333333,4.81666666666666
"81","L-12-14",4.80416666666667,4.825,4.74583333333333,4.83333333333333
"82","L-12-15",5.10416666666667,5.0375,4.95833333333333,4.91111111111111
