"","L2x2","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum"
"1","L-10-1",0,0,0,118321.816145936,0,0,0,27.2671052852025,0,0,0,0,0,0,0,0,0,29659.0645978256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25188.3855227704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627.23555443416,36194.1266321751,6579.58911020045,4334.25814201316,30216.4094776291,0,0,26591.8358718313,0,0,0,0,0,0,0,0,0,0,0,0,2331.77901709159,0,0,1669.40137862433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","L-10-10",0,0,0,0,0,0,0,0,1113.08610696609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137975.430276804,0,102410.010046406,0,20539.6721977731,0,0,0,0,0,0,0,0,0,0,0,0,655.096913951987,31.4969827617047,0,0,0,0,0,14137.2751751786,0,0,0,0,0,0,0,0,0,0,0,0,4403.05982447141,0,0,1476.36226354481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","L-10-11",0,0,0,0,10127.5666637841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16031.0545120901,0,0,0,51712.1984540346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79647.0159767582,0,21496.3618994355,33992.9232730674,0,0,0,0,0,0,0,0,0,0,0,0,43996.7257689867,7155.09374023655,1431.82667615496,12106.7906260945,1422.56867069833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440.39291262261,0,0,1179.96451752607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","L-10-12",0,0,0,0,0,61239.4411889335,0,0,0,0,0,0,0,0,0,0,0,44268.768016802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15050.3332414159,0,0,6304.50406749178,0,0,0,0,0,0,0,0,0,0,0,0,57098.76808017,20411.1576777605,0,17800.7761690526,13127.0077912538,0,0,39782.7191779231,0,0,0,0,0,0,0,0,0,0,0,0,6425.63578993057,0,0,1232.03555344776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","L-10-13",0,0,0,64793.3661159348,8492.83663306418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32027.8693588885,0,0,0,0,0,0,0,0,0,81402.7990859466,0,0,19793.7227803947,0,0,0,0,0,0,0,0,0,0,0,0,2641.87163987971,0,0,66905.9898647836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5982.05836047294,0,0,700.628294143578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","L-10-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17312.4899290287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95137.7359913531,0,55974.9755457148,0,34588.3938325988,0,0,0,0,0,0,0,0,0,0,0,0,72621.2114646667,0,1336.97805597253,0,0,0,0,289.676329956882,0,0,0,0,0,0,0,0,0,0,0,0,5413.30912128264,0,0,0,0,0,0,0,65.9536900855866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","L-10-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82192.5672005651,0,120269.752063603,37834.7388805677,32827.5528672136,0,0,0,0,0,0,0,0,0,0,0,0,3004.68893059912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612.38040356672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","L-10-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49656.5689861537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4129.86372948181,200076.625660702,12025.4421848505,0,13460.5176706267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.17940885384,0,0,2343.98012485986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","L-10-17",0,0,0,46493.82582431,14790.9230880667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33229.5688203788,0,0,202.880588876689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58308.6265649797,0,44794.0882202171,0,0,0,0,0,0,0,0,14670.105487158,2295.00915803162,0,0,27290.3683528096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20949.0502279683,18403.3250676391,0,0,144.907735434051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168.26055405549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","L-10-18",0,0,0,34051.9616206712,16608.2150897761,32022.8198833421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844.72968888727,0,0,0,0,0,0,0,0,6769.18872812111,118586.540748874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38941.8902912905,703.547018656791,3505.11365812558,0,25625.2434153489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.578364547444,0,0,1828.85394142544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
