"","L5x5","X1_mean","X2_mean","X3_mean","X4_mean"
"1","L-1-1",168.230769230769,168.923076923077,173.461538461538,174.692307692308
"2","L-1-2",171.214285714286,175.307692307692,178.083333333333,178.25
"3","L-1-3",171.642857142857,172.285714285714,175,176.785714285714
"4","L-1-4",167.888888888889,168.235294117647,170.6875,170.9375
"5","L-10-1",154,157.28,159.375,160.5
"6","L-10-2",177.608695652174,180.818181818182,182.818181818182,181.9
"7","L-10-3",162.916666666667,166.434782608696,168.826086956522,172.4
"8","L-10-4",171.347826086957,174.04347826087,177.047619047619,181
"9","L-11-1",171.6,175.64,181.08,185
"10","L-11-2",152.32,155.76,159.4,164
"11","L-11-3",170.130434782609,173.434782608696,176.826086956522,180.647058823529
"12","L-11-4",152.583333333333,155.625,157.916666666667,162
"13","L-12-1",158.24,162.44,168.16,171.529411764706
"14","L-12-2",158.36,163.24,167.791666666667,171.526315789474
"15","L-12-3",161.52,166.72,171.96,175.066666666667
"16","L-12-4",156.6,162.12,164.95652173913,168.764705882353
"17","L-13-1",157.64,160.16,163.92,165.666666666667
"18","L-13-2",158.84,162.32,165.6,166.238095238095
"19","L-13-3",156.666666666667,160.083333333333,164.25,166.05
"20","L-13-4",158.416666666667,160.458333333333,163,164.952380952381
"21","L-14-1",168,171.041666666667,174.478260869565,175.842105263158
"22","L-14-2",168.88,172.48,176.68,179.8
"23","L-14-3",171.64,174.72,177.4,180.35
"24","L-14-4",168.28,171.166666666667,173.608695652174,175.875
"25","L-15-1",167.833333333333,171.625,175.041666666667,176.238095238095
"26","L-15-2",161.52,165.4,169.875,173.238095238095
"27","L-15-3",160.32,166.6,171.583333333333,176.391304347826
"28","L-15-4",163.875,167.5,171.208333333333,175.363636363636
"29","L-16-1",166.363636363636,171.235294117647,171.833333333333,171.333333333333
"30","L-16-2",164.875,171.95652173913,172.5625,175.181818181818
"31","L-16-3",155,163.625,170.304347826087,174.846153846154
"32","L-16-4",167.380952380952,172.095238095238,175.4,179.545454545455
"33","L-17-1",159.260869565217,164.782608695652,169.95,173.6875
"34","L-17-2",163.666666666667,169.5,175.52380952381,178.647058823529
"35","L-17-3",165.791666666667,170.434782608696,174.05,175.857142857143
"36","L-17-4",171.681818181818,175.285714285714,179.555555555556,182.363636363636
"37","L-18-1",171.333333333333,174.739130434783,178.909090909091,184.625
"38","L-18-2",173.083333333333,175.791666666667,179.041666666667,180.947368421053
"39","L-18-3",176.304347826087,179,182.35,184.0625
"40","L-18-4",173.84,177,180.083333333333,182.409090909091
"41","L-19-1",152.875,165.142857142857,176.666666666667,184.4
"42","L-19-2",159,166,172.5,183.75
"43","L-19-3",150.277777777778,160,171.411764705882,177.769230769231
"44","L-19-4",144.5,152.5,163.5,182
"45","L-2-1",168.96,171.88,174.208333333333,177.529411764706
"46","L-2-2",163.84,167.5,170.695652173913,171.75
"47","L-2-3",173.304347826087,174.909090909091,176.4,177.142857142857
"48","L-2-4",172.44,175.48,177.5,179.333333333333
"49","L-3-1",180.0625,183,184.2,185.6
"50","L-3-2",180.5,182.722222222222,183.272727272727,185
"51","L-3-3",174.5,177.52380952381,180.45,182
"52","L-3-4",176.16,179.04,179.357142857143,179.714285714286
"53","L-4-1",159.84,161.833333333333,163.684210526316,165.25
"54","L-4-2",167.88,169.208333333333,172.421052631579,173.75
"55","L-4-3",165.08,166.88,169.238095238095,171.5
"56","L-4-4",159.56,162.291666666667,165,166.444444444444
"57","L-5-1",155.64,160.76,162.12,164.48
"58","L-5-2",155.28,162.36,162,161.2
"59","L-5-3",155.76,159.32,162.2,163
"60","L-5-4",154.16,158.84,162.12,160.68
"61","L-6-1",156.32,164.791666666667,169,171.777777777778
"62","L-6-2",162.2,167.958333333333,172.590909090909,177.333333333333
"63","L-6-3",162.166666666667,166.916666666667,170.652173913043,172.5
"64","L-6-4",163.130434782609,168.217391304348,172.565217391304,176
"65","L-7-1",160.208333333333,165.625,172,175.789473684211
"66","L-7-2",163.166666666667,168.041666666667,173.954545454545,175.823529411765
"67","L-7-3",164.666666666667,169.375,176.416666666667,182.263157894737
"68","L-7-4",164.791666666667,170.458333333333,174.136363636364,176.052631578947
"69","L-8-1",157.4,161.28,164.478260869565,172.210526315789
"70","L-8-2",160,164.291666666667,167.045454545455,169.428571428571
"71","L-8-3",159.16,164.36,167.52,170.571428571429
"72","L-8-4",157.625,162.375,166.826086956522,169.782608695652
"73","L-9-1",154.304347826087,157.739130434783,163.809523809524,161.533333333333
"74","L-9-2",158.083333333333,161.869565217391,164.47619047619,164.066666666667
"75","L-9-3",156.6,161.32,165.217391304348,169.944444444444
"76","L-9-4",156.48,160.32,161.631578947368,164.928571428571
