"","L5x5","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum","PropConifer.600.2016","PropWet.600.2016","TotalForest","Wt.For.Age.600.2016","PropSoftLinear.600.2016","PropHardLinear.600.2016","PropSoftPoly.600.2016","PropHardPoly.600.2016","zerolndscp"
"1","L-10-1",0,0,0,893178.917745965,165842.4734645,3702.13256260289,0,120486.439885294,0,0,0,0,0,84773.6751568395,0,0,0,476722.323956248,0,0,0,0,0,337806.96181492,0,0,0,306185.029224887,0,0,0,0,0,0,0,0,76419.2149087104,109205.588653487,0,0,0,0,0,0,0,0,0,0,17095.4984193845,0,0,0,0,0,0,0,406993.995773292,0,210188.658424573,783107.864964641,0,0,0,119954.766203336,65511.1144224214,0,0,0,0,0,0,0,2325274.30886838,696397.578813139,106806.131357737,579625.43703425,301963.284023073,0,0,738809.223944872,0,0,0,0,0,0,0,0,0,0,0,0,45348.7798107287,0,0,28600.5954065457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249666979131544,0.705747540249899,4177174.6555811,95.4176635658787,0.00821659724636382,0,0,0,"-1"
"2","L-10-2",0,0,0,65532.7176092437,540977.496040783,0,0,0,88127.6576170519,0,0,0,0,742.811144832458,0,0,0,0,0,0,0,0,0,0,52122.5656456542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38669.9872510069,0,0,0,0,0,127495.90345736,0,0,2535334.88493845,164887.311999016,753194.181836756,253251.201627491,1609770.84968437,0,0,0,25802.478057193,0,0,0,0,0,0,0,0,719224.19038511,135865.560724772,27463.9139989935,194134.251303836,168999.187781736,0,0,1208640.02103457,0,0,0,0,0,0,0,0,9999.58904515884,0,0,0,113089.518735056,0,0,25093.8113686243,0,0,0,0,141579.667938128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614969654048901,0.884748213786741,6255910.04690922,105.618724673552,0.0153537033448534,0,0.00111106544946209,0.0157310742153476,"-2"
"3","L-10-3",0,0,0,212827.837795829,416126.416913453,217297.191013387,0,0,0,0,0,0,0,0,0,0,0,35372.5213389958,49195.4989224923,0,0,0,0,62829.6069338635,293834.047644129,0,0,559265.608986082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290536.220137486,0,168275.782894533,0,0,0,0,0,0,40888.9771407297,0,988742.542138451,2893436.53758269,146801.125509383,0,779182.580083377,0,0,0,0,0,0,0,0,0,0,0,0,604955.157813499,85812.7956665257,83605.3698096038,241914.459790091,356005.592225187,0,0,291074.312270041,0,0,0,0,0,0,0,0,0,0,0,0,65970.8494223006,0,0,42922.7354513352,0,0,0,0,73126.6794519985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691532558783414,0.7745812725624,7154612.49503489,97.2624810221286,0.0120992872081818,0,0,0.00812518660577761,"-3"
"4","L-10-4",0,0,0,180775.185539324,429444.855723876,1073370.65235435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34067.3635437806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66598.2558783062,0,0,0,0,0,0,0,3.39519659732016,1018214.797704,646676.494229449,1113822.03262804,733461.308390643,1127150.5203326,0,0,0,0,241978.838772305,0,0,0,0,0,0,44379.6477616294,1300293.33651689,47277.039761953,1984.26263202502,74386.3328518344,273980.981371671,0,0,50934.2077824851,0,0,0,0,0,0,0,0,12875.7954572091,0,0,0,114126.082569126,0,0,48109.4391988342,0,0,69163.4257440387,0,283408.346099166,13517.5368274905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526666018655935,0.744084644894311,6665563.70029327,105.752840670245,0.018026169085329,0,0.0014306439396899,0.0406765898522994,"-4"
"5","L-11-1",0,0,0,4703.66170250263,483513.294166396,3014430.03555815,171829.69399266,57025.5483585514,0,0,0,0,0,0,15563.4497789366,368587.43488495,0,0,0,0,0,0,0,0,0,214135.360048882,53669.308291235,0,0,0,0,0,0,0,0,33885.6304690953,74711.1957456885,0,88765.1731120794,0,0,0,0,0,0,368573.547636086,504114.672172178,330398.736478442,21127.2133079719,0,0,0,0,0,0,7277.62669019551,48811.348452679,0,0,0,0,0,0,0,13980.1764042639,102440.683184437,0,0,0,0,0,0,0,0,3668.82108949691,47312.7273948175,299244.877593684,0,0,18253.747667426,0,0,0,24848.2227484491,0,0,0,0,868167.346148733,363416.20218035,0,277651.519513718,52562.9186060294,39458.5387692834,0,53585.9397821683,40646.8214956944,0,0,0,0,0,0,16931.8132072198,0,0,0,0,555195.62286704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361510.942090224,0,0,0,0.234108972721639,0.19613379756352,6894250.35539265,74.8557850901675,0.0875403779531067,0.00438428208547593,0.0964630384609704,0.00464222621729655,"-1"
"6","L-11-2",0,0,0,0,1003800.22014339,1097047.77704705,0,0,0,0,0,0,0,0,60554.0425523989,69372.8961074524,11457.9078179339,40625.3960034184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113183.137421012,116860.132333029,85617.5842398071,0,10367.4518824636,0,0,0,0,4949.34561992758,21748.24290239,465796.304240823,586890.450074733,41.7309252470378,17.517934729448,8.41125024063782,0,0,0,0,141070.039449802,29833.0222912792,63617.3240400114,46.3531347511744,24.3027915806669,16.7276578441105,0,0,0,0,6239.9281216484,103441.147585299,265.522443465435,165.657772631309,122.576855365329,96.6166848870866,4780.17411545152,0,4746.96873962568,11957.5644682051,3758.01099417532,26576.1206417486,120476.166404889,0,0,303672.196983143,0,0,16790.009960552,1327783.60535198,0,0,0,0,201401.407077477,440821.436718569,106698.968530655,100752.475662614,22720.7336947424,79401.658752651,0,77389.1789866606,323255.670167531,0,0,0,0,0,0,38318.2311287739,0,0,0,267317.536537265,335102.681962263,8894.81951602617,0,0,63036.6796409837,4367.22275202274,212326.172800509,0,0,0,0,0,0,0,394667.777226747,25352.7988121322,444355.61254942,0,0,0.278273807419774,0.210619805556494,5788699.06912198,57.5238895954249,0.119070940417864,0.00882240652807233,0.0223779341197197,0.153654649604589,"-2"
"7","L-11-3",0,0,0,0,417543.692398414,2512270.81350751,115651.782501505,10553.4529958488,0,0,0,0,0,0,0,793587.489708344,18581.0433994573,45781.9192419518,0,0,0,0,0,0,86089.0407171357,332098.424023807,26972.5788479722,0,0,0,0,0,0,0,0,20991.3306983492,6122.41233351367,41326.1627801455,84466.6844661804,0,0,0,0,0,241687.581109649,308401.857674117,182141.105947226,253802.067761102,0,0,0,0,0,0,1322.72687270096,55664.5028029268,29598.3478575343,0,0,0,0,0,0,0,11475.5047335754,52948.5780497669,0,0,0,0,0,0,0,0,10611.4102851552,58310.6173487939,269495.369031594,0,0,5206.73814233424,0,0,0,7941.27526743295,0,0,0,0,335063.466704914,129656.548475973,0,207151.882262621,56845.906465451,0,0,58373.4583649367,51725.3827521909,0,0,0,0,0,0,15800.8231263302,0,0,0,0,849767.311483899,0,0,0,0,581493.174328496,0,0,0,0,0,0,0,0,0,713477.915199932,0,0,0,0.264906971010255,0.164518489735164,7793817.50144106,62.2184483579464,0.0559725753690192,0,0.0372292740783238,0.00263801093264035,"-3"
"8","L-11-4",0,0,0,0,831124.80065209,2031432.60387174,1.33916406166706,182.750440249825,0.09471382859503,0.0401289597553503,0,0,0,0,4554.28819259222,164862.425904385,45593.6500662975,0,0,0,0,0,0,0,0,5489.44326109142,0,0,0,0,0,0,0,0,8543.45755908296,203730.866307745,44132.2667194545,66822.7753339482,0,0,0,0,0,12403.481006244,31846.4287172507,425754.099582339,304794.984932385,41.7546303985336,0,0,0,0,0,0,13130.8907325986,82518.3650429565,3808.55439459708,0,0,0,0,0,0,0,38750.6417084081,62963.1783842988,68770.7810583625,0,0,0,27.3947843327161,0,8879.22847367049,2178.3824351981,24628.1058316171,48710.4445792077,112771.397229139,0,0,4395.32464771747,0,0,0,1437146.54208399,0,0,0,0,200738.694264582,339377.02595635,113296.077348919,69725.6556026518,38322.2309562937,15144.9023062651,0,58503.6388552801,27113.9754466569,0,0,0,0,0,0,57063.8545318425,0,0,0,451196.794428315,200395.357703899,7016.31109311105,0,0,2827.97179594961,1513.57326076649,256377.932906476,0,0,0,1439.26802837237,0,0,0,25139.9393361485,623396.115349736,421420.073615163,0,0,0.25271252939439,0.138482893709599,6441977.3000233,57.9308265979713,0.0718154004629057,0.00168276692291834,0.0223042993627313,0.166023377401759,"-4"
"9","L-12-1",0,0,0,68547.1478238477,106761.699356984,3858533.17765299,742089.793912848,295834.906239347,0,0,0,0,0,0,14369.879988485,185378.210416694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4223.67263018559,0,0,0,0,0,0,0,0,0,0,93351.3548286757,0,90744.4768884344,0,0,0,0,0,0,8557.98461091091,166738.810461626,23285.553676844,330073.212552276,0,0,0,0,0,0,0,116464.312911519,0,64370.0507131632,0,0,15814.8886427057,2893.31010169673,245.889516537596,2916.0966625431,0,18857.7541866411,101777.497139094,0,0,382778.51657627,0,0,0,448959.146586174,0,0,0,0,565002.014730559,357131.983495371,73307.2223807513,12037.8640062292,58399.8273240695,195064.177688095,0,35030.6771576957,386402.829579372,0,0,0,88522.0122368341,0,0,85533.9830213108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079663896183217,0.155573501191615,6169324.24466483,86.6665749005501,0.102478933771499,0.0216737975208995,0.0627780016367287,0.0692239046493688,"-1"
"10","L-12-2",0,0,0,212454.038055773,793858.539637992,1451046.23880301,51554.5680924235,1558.30501575303,119269.498744211,0,0,0,0,0,236039.512996445,0,0,0,0,0,0,0,0,0,21854.3461484162,0,0,0,61622.6077709367,0,0,0,0,0,36587.8285116862,0,0,0,0,0,0,0,0,0,189.050359187354,186853.058733974,0,0,0,0,0,0,0,2301.86524935917,692258.1841374,1237710.03851527,4602.89640502179,0,0,0,0,0,0,0,0,0,0,0,0,0,35620.1683530334,16338.8964067814,0,7848.87965292997,931.673883491613,54388.2987647533,209182.661288367,0,0,470963.508402802,0,0,0,929722.538861132,0,0,0,0,744409.233335561,509223.439857214,66453.2938665293,114010.488729102,11871.4030082986,223809.181284977,0,31355.102314251,428888.691032259,0,0,0,0,0,0,35222.1712300839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249331097314584,0.318581123932506,5109760.57717685,73.7047975143462,0.129089157645295,0.0248676868094418,0.0827121370372845,0.107216078899024,"-2"
