"","L3x3","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum"
"1","L-10-0",0,0,0,0,70966.0591514634,152086.752925601,0,0,1113.08610696609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29357.5999932899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8376.3766878895,3.39508460752236,386072.666099945,174098.505067722,91388.2076956328,105712.25902206,129663.491694479,0,0,0,0,39471.056832189,0,0,0,0,0,0,0,7728.40881414826,1913.33613790384,2791.22483498176,0,14610.5003793453,0,0,36443.9576546846,0,0,0,0,0,0,0,0,0,0,0,0,5545.5472801442,0,0,7304.20769695473,0,0,12470.7410394178,0,65902.6772895007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","L-10-1",0,0,0,176482.629441926,0,0,0,6165.9246249763,0,0,0,0,0,0,0,0,0,41887.4053900288,0,0,0,0,0,14902.4661124055,0,0,0,9307.08535504825,0,0,0,0,0,0,0,0,25188.3855227704,25347.8799758295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22355.5060951124,44389.4392949853,0,0,0,0,0,0,0,0,0,0,0,0,99970.2508624326,59197.9520450541,13430.5562593659,23833.3865517383,41874.2261240647,0,0,26591.8358718313,0,0,0,0,0,0,0,0,0,0,0,0,3573.07872493778,0,0,1669.40172834263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","L-10-2",0,0,0,32046.4905723648,30820.1632346514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49695.9822691876,0,0,153148.819596515,0,0,0,0,0,0,0,0,0,0,0,0,179644.507645275,36816.8939655386,3122.40633149854,9821.26927360651,20031.7909330218,0,0,113058.752745187,0,0,0,0,0,0,0,0,0,0,0,0,4121.14691188929,0,0,3839.71409358499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","L-10-3",0,0,0,0,64453.3488583964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48248.6200406254,0,0,136880.881574091,0,2613.90161334384,4880.47780272692,32537.7569780543,0,0,0,0,0,0,0,0,0,0,0,0,107728.654435705,13155.7869060303,3471.6010831967,0,0,0,0,212085.799922649,0,0,0,0,0,0,0,0,0,0,0,0,5199.0374247943,0,0,4911.10190877435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","L-10-4",0,0,0,0,23849.6892667,61239.4381846995,0,0,0,0,0,0,0,5714.99259816216,0,0,0,44268.7653876218,0,0,0,0,0,31558.4474999689,0,0,0,58498.342542928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95361.3580100151,0,21975.4627356133,33992.9232730674,0,0,0,15926.1587319983,694.89063988609,0,0,0,0,0,0,0,154723.39930408,25182.8185950459,6751.94083700169,29907.6002259111,14549.5838863663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7837.41231507519,0,0,4133.77554160402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","L-10-5",0,0,0,64793.3621611574,8492.83777793262,0,0,0,0,0,0,0,0,40982.0298523596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32027.8592612665,0,0,0,0,0,0,0,0,0,96453.1844875664,0,0,89060.6608035907,0,0,0,19742.7796799028,0,0,0,0,0,0,0,0,96745.1678768768,42912.1208776654,0,80250.6425292495,15518.7661683216,0,0,39782.722541605,0,0,0,0,0,0,0,0,0,0,0,0,8705.31396435968,0,0,700.628294143578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","L-10-6",0,0,0,0,24415.5562420387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17312.4894295368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132269.787813022,0,244301.179918307,12997.3591965499,81081.2518461116,0,0,0,0,0,0,0,0,0,0,0,0,75625.6888860649,647.158968836463,1336.97805597253,0,0,0,0,27895.5972701179,0,0,0,0,0,0,0,0,0,0,0,0,14072.0952387344,0,0,1731.28806569278,0,0,0,0,2480.62235851443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","L-10-7",0,0,0,19884.4049988948,47.095822426157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25030.4401119686,0,0,0,89891.478898858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58308.6181545716,0,44794.0210229899,0,0,0,0,0,0,0,0,88772.5360088272,250480.817503464,12025.4421848505,0,41324.9034873858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.17940885384,0,0,4559.44121063791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","L-10-8",0,0,0,60661.3839422247,75441.2647383438,32022.8198833421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33229.5688203788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844.72968888727,0,0,0,0,0,0,0,0,6769.18874360448,197911.535956888,0,0,43340.2665309394,0,0,0,0,0,0,0,0,0,0,0,0,47662.0014877217,1905.62135736835,7623.99207643684,20949.0502279683,79734.1176264892,0,0,18251.6253305155,0,0,0,0,0,0,0,0,0,0,0,0,4136.01826035569,0,0,2683.61431935453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","L-10-9",0,0,0,0,0,58233.4363319318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123624.59627391,5547.05879838517,49647.6194610909,31775.8109586848,98937.3249394662,0,0,0,0,3437.21646400626,0,0,0,0,0,0,0,198723.560932604,10864.1296016696,0,3824.30684686142,34373.1692659278,0,0,616.038374726473,0,0,0,0,0,0,0,0,0,0,0,0,14005.1024512517,0,0,2557.71602267681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","L-11-0",0,0,0,0,305654.863313571,295849.14209735,0,0,0,0,0,0,0,0,17423.5905532317,22295.7914067856,25556.5280834436,0,0,0,0,0,0,0,0,15870.7687954699,0,0,0,0,0,0,0,0,18414.1952291693,18704.8198804691,17915.0105135349,28991.7748077445,14766.8356352225,0,0,0,0,0,11317.8593829573,35893.3848520223,33921.5571970611,1309.81336874012,0,0,0,0,0,0,0,99.838894895749,62.8390947886939,32.3615503267184,16.9670512477599,11.6784537675004,0,0,0,0,0,12127.7743533244,25332.6177559031,165.658141896746,122.577128599692,96.6169002539951,239.761514938731,0,4206.65487712792,0,0,3655.99198093985,29300.4098274478,0,0,60687.2031538449,0,0,5345.61675248176,0,0,0,0,0,18920.0308291005,29861.8215358902,15917.2988320556,4061.17339571687,3647.96203280883,8927.01725066791,0,13386.5431508999,8168.77808176934,0,0,0,0,0,0,0,0,0,0,0,13005.3657439533,0,0,0,0,540.379213087744,5.64211738953241,0,0,0,0,0,0,0,0,220338.509893626,848.639284427964,0,0
"12","L-11-1",0,0,0,0,8308.06962329131,230442.40199788,0,0,0,0,0,0,0,0,0,41543.7420421681,0,0,0,0,0,0,0,0,0,42541.6260340879,0,0,0,0,0,0,0,0,0,23440.1447274906,7145.66360199006,0,0,0,0,0,0,0,0,16062.9079672197,7331.21621946169,24780.7566715942,11908.3687289933,0,0,0,0,0,0,11.4092601474394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2198.79241511929,36897.7603579794,0,0,1508.5874194303,0,0,0,0,0,0,0,0,36677.0124350726,53076.2525915428,0,23576.4126159208,872.191859686209,9681.87831854443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110.99669742502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56050.3461781843,0,0,0
