"","SS","1","2","3","4"
"1","BG_1_10",-0.023740429665777,2.30670575455412,2.30670575455412,-0.023740429665777
"2","BG_1_100",5.80237503088397,5.80237503088397,-0.023740429665777,-0.023740429665777
"3","BG_1_101",-0.023740429665777,-0.023740429665777,5.80237503088397,5.80237503088397
"4","BG_1_102",5.80237503088397,5.80237503088397,-0.023740429665777,5.80237503088397
"5","BG_1_103",-0.023740429665777,5.80237503088397,5.80237503088397,-0.023740429665777
"6","BG_1_104",5.80237503088397,5.80237503088397,-0.023740429665777,-0.023740429665777
"7","BG_1_105",2.30670575455412,2.30670575455412,-3.51940970599563,-0.023740429665777
"8","BG_1_109",-0.023740429665777,-0.023740429665777,2.30670575455412,2.30670575455412
"9","BG_1_11",-0.023740429665777,-0.023740429665777,-0.023740429665777,-0.023740429665777
"10","BG_1_112",-0.023740429665777,5.80237503088397,5.80237503088397,-0.023740429665777
"11","BG_1_113",2.30670575455412,2.30670575455412,-0.023740429665777,-0.023740429665777
"12","BG_1_114",-0.023740429665777,-3.51940970599563,-3.51940970599563,-0.023740429665777
"13","BG_1_115",2.30670575455412,2.30670575455412,-0.023740429665777,-0.023740429665777
"14","BG_1_116",5.80237503088397,5.80237503088397,-0.023740429665777,2.30670575455412
"15","BG_1_117",-0.023740429665777,-0.023740429665777,-0.023740429665777,2.30670575455412
"16","BG_1_118",-0.023740429665777,-0.023740429665777,-0.023740429665777,-0.023740429665777
"17","BG_1_119",2.30670575455412,2.30670575455412,-0.023740429665777,-0.023740429665777
"18","BG_1_12",-0.023740429665777,2.30670575455412,2.30670575455412,2.30670575455412
"19","BG_1_120",-0.023740429665777,-0.023740429665777,-0.023740429665777,5.80237503088397
"20","BG_1_124",-0.023740429665777,2.30670575455412,2.30670575455412,-0.023740429665777
"21","BG_1_126",2.30670575455412,2.30670575455412,2.30670575455412,2.30670575455412
"22","BG_1_127",-0.023740429665777,-0.023740429665777,-0.023740429665777,-0.023740429665777
"23","BG_1_128",-0.023740429665777,-0.023740429665777,-0.023740429665777,-0.023740429665777
"24","BG_1_129",-0.023740429665777,-0.023740429665777,2.30670575455412,2.30670575455412
