"","SS","1","2","3","4"
"1","BG_1_10",1.07497965665969,1.14850483476973,1.14850483476973,1.29555519098981
"2","BG_1_100",1.00145447854965,1.00145447854965,1.07497965665969,1.14850483476973
"3","BG_1_101",-0.395523905541083,-0.395523905541083,-0.395523905541083,-0.395523905541083
"4","BG_1_102",-1.20430086475151,-1.20430086475151,-1.05725050853143,-0.763149796091276
"5","BG_1_103",0.707353766109499,0.854404122329576,0.854404122329576,0.927929300439615
"6","BG_1_104",-0.395523905541083,-0.395523905541083,-0.101423193100928,-0.101423193100928
"7","BG_1_105",-1.27782604286155,-1.27782604286155,-1.20430086475151,-1.13077568664147
"8","BG_1_109",-0.469049083651121,-0.174948371210966,0.192677519339227,0.192677519339227
"9","BG_1_11",-0.321998727431044,-0.174948371210966,-0.174948371210966,0.119152341229189
"10","BG_1_112",1.51613072531992,1.51613072531992,1.51613072531992,1.58965590342996
"11","BG_1_113",-0.321998727431044,-0.321998727431044,-0.248473549321005,0.486778231779382
"12","BG_1_114",-1.05725050853143,-0.836674974201315,-0.836674974201315,-0.689624617981238
"13","BG_1_115",1.00145447854965,1.00145447854965,1.29555519098981,1.29555519098981
"14","BG_1_116",-0.54257426176116,-0.54257426176116,-0.395523905541083,-0.395523905541083
"15","BG_1_117",-1.05725050853143,-1.05725050853143,-0.983725330421393,-0.910200152311354
"16","BG_1_118",0.780878944219538,0.854404122329576,0.854404122329576,1.07497965665969
"17","BG_1_119",-0.54257426176116,-0.54257426176116,-0.395523905541083,-0.395523905541083
"18","BG_1_12",-1.20430086475151,-1.20430086475151,-1.20430086475151,-0.689624617981238
"19","BG_1_120",-1.27782604286155,-1.27782604286155,-0.983725330421393,-0.910200152311354
"20","BG_1_124",-0.469049083651121,-0.248473549321005,-0.248473549321005,0.413253053669344
"21","BG_1_126",-0.616099439871199,-0.616099439871199,-0.54257426176116,-0.54257426176116
"22","BG_1_127",1.51613072531992,1.51613072531992,1.58965590342996,1.58965590342996
"23","BG_1_128",-0.469049083651121,-0.469049083651121,-0.101423193100928,-0.101423193100928
"24","BG_1_129",-0.983725330421393,-0.983725330421393,-0.983725330421393,-0.983725330421393
"25","BG_1_13",0.854404122329576,0.927929300439615,1.14850483476973,1.14850483476973
"26","BG_1_130",1.07497965665969,1.14850483476973,1.58965590342996,1.58965590342996
"27","BG_1_131",-0.248473549321005,0.0456271631191499,NA,NA
"28","BG_1_132",-1.35135122097159,-1.27782604286155,-1.27782604286155,-1.27782604286155
"29","BG_1_133",1.07497965665969,1.07497965665969,1.07497965665969,1.07497965665969
"30","BG_1_134",-0.395523905541083,0.192677519339227,0.266202697449266,0.266202697449266
"31","BG_1_135",-1.05725050853143,-1.05725050853143,-0.983725330421393,-0.983725330421393
"32","BG_1_139",-0.395523905541083,-0.395523905541083,0.266202697449266,0.266202697449266
"33","BG_1_14",-0.395523905541083,-0.321998727431044,-0.248473549321005,-0.248473549321005
"34","BG_1_141",-0.689624617981238,-0.395523905541083,-0.395523905541083,-0.321998727431044
"35","BG_1_142",1.07497965665969,1.29555519098981,1.29555519098981,1.44260554720989
"36","BG_1_143",0.927929300439615,2.17785732831027,2.17785732831027,NA
"37","BG_1_144",-0.983725330421393,-0.983725330421393,-0.910200152311354,-0.910200152311354
"38","BG_1_145",1.00145447854965,1.00145447854965,1.14850483476973,1.14850483476973
"39","BG_1_146",-0.174948371210966,-0.174948371210966,-0.101423193100928,-0.101423193100928
"40","BG_1_147",-1.27782604286155,-1.27782604286155,-1.20430086475151,-1.20430086475151
"41","BG_1_148",1.22203001287977,1.22203001287977,1.66318108154,1.66318108154
"42","BG_1_149",-0.54257426176116,-0.469049083651121,NA,NA
"43","BG_1_150",-1.27782604286155,-1.27782604286155,-1.13077568664147,-1.13077568664147
"44","BG_1_21",-0.763149796091276,-0.763149796091276,-0.321998727431044,-0.321998727431044
"45","BG_1_22",1.00145447854965,1.14850483476973,2.0308069720902,2.0308069720902
"46","BG_1_23",1.07497965665969,1.22203001287977,2.25138250642031,2.25138250642031
"47","BG_1_24",-0.983725330421393,-0.983725330421393,-0.616099439871199,-0.616099439871199
"48","BG_1_25",1.00145447854965,1.00145447854965,1.07497965665969,1.14850483476973
"49","BG_1_26",1.00145447854965,1.07497965665969,1.07497965665969,1.07497965665969
"50","BG_1_27",-1.20430086475151,-1.20430086475151,-1.13077568664147,-1.13077568664147
"51","BG_1_28",1.00145447854965,1.00145447854965,1.00145447854965,1.29555519098981
"52","BG_1_29",-0.174948371210966,0.0456271631191499,0.0456271631191499,0.486778231779382
"53","BG_1_36",-0.616099439871199,-0.616099439871199,-0.248473549321005,-0.248473549321005
"54","BG_1_37",0.927929300439615,0.927929300439615,1.07497965665969,1.36908036909985
"55","BG_1_38",-0.469049083651121,-0.469049083651121,-0.248473549321005,0.119152341229189
"56","BG_1_39",-1.13077568664147,-1.13077568664147,-1.05725050853143,-0.910200152311354
"57","BG_1_40",1.07497965665969,1.07497965665969,1.07497965665969,1.22203001287977
"58","BG_1_41",0.192677519339227,0.192677519339227,0.339727875559305,0.339727875559305
"59","BG_1_42",-1.05725050853143,-1.05725050853143,-0.983725330421393,-0.983725330421393
"60","BG_1_43",0.854404122329576,0.927929300439615,1.95728179398016,1.95728179398016
"61","BG_1_44",-0.395523905541083,-0.395523905541083,-0.395523905541083,-0.101423193100928
"62","BG_1_51",1.07497965665969,1.07497965665969,1.29555519098981,1.29555519098981
"63","BG_1_52",1.00145447854965,1.00145447854965,1.00145447854965,1.00145447854965
