"","SS","1","2","3","4"
"139","BG_10_48",5.33333333333333,5.33333333333333,5.33333333333333,5.35
"140","BG_10_49",5.36666666666667,5.38333333333333,5.38333333333333,NA
"141","BG_10_5",5.53333333333333,5.45,5.41666666666667,5.38333333333333
"142","BG_10_50",5.43333333333333,5.5,5.53333333333333,5.55
"143","BG_10_51",5.35,5.38333333333333,5.38333333333333,NA
"144","BG_10_52",5.36666666666667,5.38333333333333,5.4,NA
"145","BG_10_53",5.33333333333333,5.33333333333333,5.35,5.35
"146","BG_10_54",5.33333333333333,5.33333333333333,5.35,5.35
"147","BG_10_55",5.36666666666667,5.38333333333333,5.41666666666667,NA
"148","BG_10_56",5.38333333333333,5.36666666666667,NA,NA
"149","BG_10_57",5.41666666666667,5.38333333333333,5.36666666666667,NA
"150","BG_10_58",5.36666666666667,5.38333333333333,5.4,NA
"151","BG_10_6",5.51666666666667,5.45,5.41666666666667,5.36666666666667
"152","BG_10_60",5.45,5.48333333333333,5.5,5.51666666666667
"153","BG_10_61",5.43333333333333,5.5,5.53333333333333,NA
"154","BG_10_62",5.43333333333333,5.48333333333333,5.53333333333333,5.55
"155","BG_10_63",5.36666666666667,5.38333333333333,5.38333333333333,5.4
"156","BG_10_64",5.35,NA,NA,NA
"157","BG_10_65",5.23333333333333,5.2,5.16666666666667,NA
"158","BG_10_66",5.35,5.35,5.35,5.36666666666667
"159","BG_10_67",5.33333333333333,5.33333333333333,5.35,5.35
"160","BG_10_68",5.43333333333333,5.46666666666667,5.51666666666667,5.55
"161","BG_10_69",5.43333333333333,5.45,5.5,5.51666666666667
"162","BG_10_7",5.51666666666667,5.46666666666667,5.41666666666667,5.35
"163","BG_10_70",5.43333333333333,5.5,5.53333333333333,5.55
"164","BG_10_71",5.45,5.48333333333333,5.51666666666667,5.55
"165","BG_10_72",5.41666666666667,5.5,5.53333333333333,NA
"166","BG_10_73",5.43333333333333,5.51666666666667,5.55,NA
"167","BG_10_74",5.36666666666667,5.46666666666667,5.48333333333333,5.5
"168","BG_10_75",5.33333333333333,5.33333333333333,5.33333333333333,5.35
"169","BG_10_76",5.43333333333333,5.38333333333333,5.38333333333333,5.35
"170","BG_10_77",5.33333333333333,5.33333333333333,5.33333333333333,5.35
"171","BG_10_79",5.45,5.48333333333333,5.51666666666667,5.53333333333333
"172","BG_10_8",5.53333333333333,5.5,5.48333333333333,NA
"173","BG_10_80",5.43333333333333,5.48333333333333,5.5,5.51666666666667
"174","BG_10_81",5.41666666666667,5.48333333333333,5.51666666666667,NA
"175","BG_10_82",5.26666666666667,5.3,5.31666666666667,5.33333333333333
"176","BG_10_85",5.38333333333333,5.41666666666667,5.43333333333333,NA
"177","BG_10_86",5.43333333333333,5.4,5.38333333333333,NA
"178","BG_10_87",5.41666666666667,5.38333333333333,5.35,NA
"179","BG_10_88",5.33333333333333,5.33333333333333,5.35,5.35
"180","BG_10_89",5.41666666666667,5.45,5.5,5.53333333333333
"181","BG_10_9",5.35,5.33333333333333,5.33333333333333,5.35
"182","BG_10_90",5.41666666666667,5.41666666666667,5.53333333333333,NA
"183","BG_10_91",5.5,5.5,5.5,NA
"184","BG_10_92",5.28333333333333,5.3,5.31666666666667,NA
"185","BG_10_93",5.38333333333333,5.41666666666667,5.46666666666667,5.5
"186","BG_10_94",5.36666666666667,5.38333333333333,5.38333333333333,NA
"187","BG_10_95",5.33333333333333,5.33333333333333,5.33333333333333,5.35
"188","BG_10_96",5.41666666666667,5.35,NA,NA
"189","BG_10_97",5.41666666666667,5.4,5.38333333333333,5.38333333333333
"190","BG_10_98",5.33333333333333,5.35,5.35,5.35
"191","BG_10_99",5.41666666666667,5.48333333333333,5.5,5.55
"192","BG_11_1",4.65,4.76666666666667,4.76666666666667,4.78333333333333
"193","BG_11_10",4.63333333333333,4.65,4.7,4.71666666666667
"194","BG_11_100",4.73333333333333,4.71666666666667,4.65,4.61666666666667
"195","BG_11_11",4.68333333333333,4.7,4.76666666666667,4.83333333333333
"196","BG_11_12",4.68333333333333,4.7,4.73333333333333,4.76666666666667
"197","BG_11_13",4.65,4.65,4.68333333333333,4.7
"198","BG_11_14",4.66666666666667,4.78333333333333,4.81666666666667,4.85
"199","BG_11_15",4.61666666666667,4.66666666666667,4.7,4.71666666666667
"200","BG_11_16",4.65,4.71666666666667,4.81666666666667,NA
"201","BG_11_17",4.63333333333333,4.65,4.68333333333333,4.83333333333333
"202","BG_11_18",4.6,4.61666666666667,4.66666666666667,4.68333333333333
"203","BG_11_19",4.63333333333333,4.65,4.73333333333333,4.81666666666667
"204","BG_11_2",4.65,4.65,4.78333333333333,NA
"205","BG_11_20",4.6,4.65,4.71666666666667,4.76666666666667
"206","BG_11_21",4.58333333333333,4.61666666666667,4.66666666666667,4.85
"207","BG_11_22",4.58333333333333,4.61666666666667,4.65,4.81666666666667
"208","BG_11_23",4.58333333333333,4.58333333333333,4.61666666666667,4.78333333333333
"209","BG_11_24",4.58333333333333,4.58333333333333,4.61666666666667,4.75
"210","BG_11_25",4.58333333333333,4.58333333333333,4.6,4.61666666666667
"211","BG_11_26",4.58333333333333,4.61666666666667,4.65,4.83333333333333
"212","BG_11_27",4.6,4.58333333333333,4.6,NA
"213","BG_11_28",4.6,4.58333333333333,4.58333333333333,4.6
"214","BG_11_29",4.6,4.58333333333333,4.58333333333333,4.6
"215","BG_11_3",4.63333333333333,4.65,4.81666666666667,4.83333333333333
"216","BG_11_30",4.6,4.58333333333333,4.58333333333333,4.58333333333333
"217","BG_11_31",4.58333333333333,4.58333333333333,4.6,4.61666666666667
"218","BG_11_32",4.6,4.58333333333333,4.65,4.68333333333333
"219","BG_11_33",4.6,4.6,4.66666666666667,4.7
"220","BG_11_34",4.58333333333333,4.58333333333333,4.6,4.68333333333333
"221","BG_11_35",4.6,4.58333333333333,4.63333333333333,4.68333333333333
"222","BG_11_36",4.6,4.6,4.58333333333333,NA
"223","BG_11_38",4.6,4.58333333333333,4.58333333333333,NA
"224","BG_11_39",4.58333333333333,4.58333333333333,4.58333333333333,NA
"225","BG_11_4",4.61666666666667,4.65,4.66666666666667,4.68333333333333
"226","BG_11_40",4.6,4.58333333333333,4.58333333333333,4.58333333333333
"227","BG_11_41",4.6,4.58333333333333,4.58333333333333,4.61666666666667
"228","BG_11_42",4.58333333333333,4.65,4.66666666666667,4.81666666666667
"229","BG_11_43",4.6,4.58333333333333,4.65,4.83333333333333
"230","BG_11_44",4.6,4.58333333333333,4.58333333333333,4.6
"231","BG_11_45",4.58333333333333,4.58333333333333,4.81666666666667,4.83333333333333
"232","BG_11_46",4.6,4.58333333333333,4.63333333333333,4.66666666666667
"233","BG_11_48",4.6,4.58333333333333,4.58333333333333,4.58333333333333
"234","BG_11_49",4.6,4.58333333333333,4.58333333333333,4.6
"235","BG_11_5",4.66666666666667,4.68333333333333,4.78333333333333,4.83333333333333
"236","BG_11_50",4.6,4.58333333333333,4.58333333333333,4.58333333333333
"237","BG_11_51",4.58333333333333,4.58333333333333,4.6,4.65
"238","BG_11_52",4.6,4.58333333333333,4.6,4.75
