"","SS","Visits"
"266","BG_13_74",2
"267","BG_13_81",1
"268","BG_13_82",1
"269","BG_13_85",1
"270","BG_13_86",1
"271","BG_13_89",3
"272","BG_13_9",3
"273","BG_13_90",2
"274","BG_13_91",3
"275","BG_13_92",1
"276","BG_13_95",1
"277","BG_13_96",1
"278","BG_13_99",2
"279","BG_14_100",1
"280","BG_14_13",2
"281","BG_14_17",1
"282","BG_14_19",3
"283","BG_14_21",1
"284","BG_14_22",2
"285","BG_14_25",1
"286","BG_14_29",2
"287","BG_14_31",2
"288","BG_14_35",2
"289","BG_14_36",1
"290","BG_14_39",1
"291","BG_14_5",4
"292","BG_14_50",1
"293","BG_14_53",2
"294","BG_14_54",2
"295","BG_14_59",1
"296","BG_14_61",2
"297","BG_14_62",2
"298","BG_14_66",2
"299","BG_14_7",2
"300","BG_14_74",4
"301","BG_14_75",2
"302","BG_14_76",1
"303","BG_14_8",1
"304","BG_14_83",1
"305","BG_14_9",1
"306","BG_14_93",1
"307","BG_14_94",1
"308","BG_14_99",2
"309","BG_15_1",4
"310","BG_15_100",2
"311","BG_15_11",2
"312","BG_15_12",2
"313","BG_15_13",2
"314","BG_15_14",4
"315","BG_15_15",2
"316","BG_15_16",3
"317","BG_15_17",1
"318","BG_15_18",1
"319","BG_15_19",2
"320","BG_15_2",2
"321","BG_15_20",1
"322","BG_15_21",1
"323","BG_15_22",4
"324","BG_15_23",3
"325","BG_15_24",1
"326","BG_15_26",3
"327","BG_15_27",2
"328","BG_15_28",2
"329","BG_15_29",3
"330","BG_15_3",1
"331","BG_15_30",1
"332","BG_15_31",4
"333","BG_15_32",4
"334","BG_15_33",2
"335","BG_15_34",3
"336","BG_15_35",2
"337","BG_15_36",2
"338","BG_15_37",1
"339","BG_15_38",2
"340","BG_15_39",1
"341","BG_15_4",1
"342","BG_15_40",1
"343","BG_15_41",2
"344","BG_15_42",1
"345","BG_15_43",3
"346","BG_15_44",2
"347","BG_15_45",2
"348","BG_15_46",2
"349","BG_15_48",3
"350","BG_15_49",3
"351","BG_15_5",1
"352","BG_15_50",1
"353","BG_15_51",2
"354","BG_15_52",3
"355","BG_15_53",2
"356","BG_15_55",1
"357","BG_15_56",2
"358","BG_15_58",2
"359","BG_15_59",4
"360","BG_15_6",3
"361","BG_15_60",3
"362","BG_15_61",1
"363","BG_15_63",3
"364","BG_15_64",3
"365","BG_15_65",3
"366","BG_15_66",1
"367","BG_15_67",2
"368","BG_15_68",3
"369","BG_15_69",1
"370","BG_15_7",2
"371","BG_15_70",1
"372","BG_15_71",1
"373","BG_15_72",1
"374","BG_15_73",2
"375","BG_15_74",2
"376","BG_15_75",2
"377","BG_15_77",3
"378","BG_15_78",3
"379","BG_15_79",2
"380","BG_15_8",1
"381","BG_15_81",3
"382","BG_15_82",1
"383","BG_15_83",1
"384","BG_15_85",3
"385","BG_15_86",2
"386","BG_15_87",4
"387","BG_15_89",2
"388","BG_15_9",1
"389","BG_15_90",3
"390","BG_15_91",1
"391","BG_15_92",2
"392","BG_15_93",1
"393","BG_15_94",1
"394","BG_15_95",2
"395","BG_15_97",2
"396","BG_15_99",3
"397","BG_16_1",4
"398","BG_16_10",4
"399","BG_16_100",4
"400","BG_16_11",2
"401","BG_16_13",1
"402","BG_16_15",4
"403","BG_16_16",4
"404","BG_16_17",4
"405","BG_16_18",2
"406","BG_16_19",4
"407","BG_16_20",4
"408","BG_16_21",3
"409","BG_16_22",2
"410","BG_16_23",4
"411","BG_16_24",3
"412","BG_16_25",4
"413","BG_16_26",3
"414","BG_16_27",4
"415","BG_16_28",4
"416","BG_16_29",3
"417","BG_16_3",2
"418","BG_16_30",3
"419","BG_16_31",2
"420","BG_16_32",2
"421","BG_16_33",4
"422","BG_16_34",4
"423","BG_16_35",4
"424","BG_16_36",3
"425","BG_16_37",4
"426","BG_16_38",4
"427","BG_16_39",4
"428","BG_16_4",2
"429","BG_16_40",3
"430","BG_16_41",4
"431","BG_16_42",4
"432","BG_16_43",1
"433","BG_16_44",3
"434","BG_16_45",4
"435","BG_16_46",4
"436","BG_16_47",3
"437","BG_16_48",3
"438","BG_16_49",4
"439","BG_16_5",4
"440","BG_16_50",4
"441","BG_16_51",4
"442","BG_16_52",4
"443","BG_16_53",3
"444","BG_16_54",2
"445","BG_16_55",4
"446","BG_16_56",4
"447","BG_16_57",2
"448","BG_16_58",3
"449","BG_16_59",4
"450","BG_16_6",4
"451","BG_16_60",4
"452","BG_16_61",2
"453","BG_16_62",3
"454","BG_16_63",4
"455","BG_16_64",3
"456","BG_16_65",2
"457","BG_16_67",4
"458","BG_16_68",4
"459","BG_16_7",3
"460","BG_16_70",4
"461","BG_16_71",2
"462","BG_16_72",3
"463","BG_16_73",4
"464","BG_16_74",3
"465","BG_16_75",3
"466","BG_16_76",2
"467","BG_16_77",4
"468","BG_16_78",4
"469","BG_16_79",2
"470","BG_16_8",1
"471","BG_16_80",3
"472","BG_16_81",4
"473","BG_16_82",4
"474","BG_16_83",3
"475","BG_16_84",3
"476","BG_16_85",4
"477","BG_16_86",4
"478","BG_16_88",2
"479","BG_16_89",4
"480","BG_16_9",4
"481","BG_16_90",4
"482","BG_16_91",4
"483","BG_16_92",4
"484","BG_16_93",4
"485","BG_16_94",1
"486","BG_16_95",4
"487","BG_16_96",4
"488","BG_16_97",3
"489","BG_16_98",4
"490","BG_17_1",4
"491","BG_17_10",4
"492","BG_17_100",4
"493","BG_17_11",4
"494","BG_17_12",4
"495","BG_17_13",4
"496","BG_17_14",4
"497","BG_17_15",4
"498","BG_17_16",4
"499","BG_17_17",4
"500","BG_17_18",3
"501","BG_17_19",4
"502","BG_17_2",4
"503","BG_17_20",4
"504","BG_17_22",3
"505","BG_17_23",4
"506","BG_17_24",4
"507","BG_17_26",3
"508","BG_17_27",4
"509","BG_17_28",4
"510","BG_17_29",3
"511","BG_17_3",4
"512","BG_17_30",3
"513","BG_17_31",3
"514","BG_17_32",3
"515","BG_17_33",4
"516","BG_17_34",4
"517","BG_17_35",4
"518","BG_17_36",4
"519","BG_17_37",4
"520","BG_17_38",4
"521","BG_17_39",3
"522","BG_17_4",4
"523","BG_17_40",2
"524","BG_17_41",4
"525","BG_17_42",4
"526","BG_17_43",1
"527","BG_17_44",3
"528","BG_17_45",4
"529","BG_17_46",4
"530","BG_17_47",2
"531","BG_17_48",3
"532","BG_17_49",4
"533","BG_17_5",4
"534","BG_17_50",4
"535","BG_17_51",4
"536","BG_17_52",4
"537","BG_17_53",4
"538","BG_17_54",2
"539","BG_17_55",4
"540","BG_17_56",4
"541","BG_17_57",3
"542","BG_17_58",2
"543","BG_17_59",4
"544","BG_17_6",4
"545","BG_17_60",4
"546","BG_17_61",4
"547","BG_17_62",4
"548","BG_17_63",4
"549","BG_17_64",4
"550","BG_17_65",4
"551","BG_17_66",1
"552","BG_17_67",4
"553","BG_17_68",4
"554","BG_17_7",4
"555","BG_17_71",4
"556","BG_17_73",4
"557","BG_17_74",4
"558","BG_17_75",4
"559","BG_17_76",4
"560","BG_17_77",4
"561","BG_17_78",4
"562","BG_17_79",4
"563","BG_17_8",4
"564","BG_17_80",2
"565","BG_17_81",2
"566","BG_17_82",4
"567","BG_17_83",3
"568","BG_17_84",3
"569","BG_17_85",4
"570","BG_17_86",4
"571","BG_17_87",3
"572","BG_17_88",3
"573","BG_17_89",4
"574","BG_17_9",4
"575","BG_17_90",4
"576","BG_17_91",4
"577","BG_17_92",8
"578","BG_17_93",3
"579","BG_17_94",3
"580","BG_17_95",4
"581","BG_17_96",4
"582","BG_17_97",3
"583","BG_17_98",3
"584","BG_17_99",4
"585","BG_18_1",1
"586","BG_18_10",1
"587","BG_18_11",1
"588","BG_18_12",1
"589","BG_18_13",2
"590","BG_18_16",1
"591","BG_18_17",3
"592","BG_18_18",2
"593","BG_18_19",3
"594","BG_18_2",1
"595","BG_18_21",1
"596","BG_18_25",1
"597","BG_18_26",2
"598","BG_18_29",2
"599","BG_18_30",2
"600","BG_18_35",3
"601","BG_18_36",2
"602","BG_18_4",1
"603","BG_18_41",1
"604","BG_18_43",1
"605","BG_18_47",3
"606","BG_18_48",3
"607","BG_18_5",1
"608","BG_18_51",1
"609","BG_18_57",3
"610","BG_18_58",1
"611","BG_18_61",3
"612","BG_18_62",1
"613","BG_18_66",2
"614","BG_18_69",3
"615","BG_18_7",1
"616","BG_18_71",1
"617","BG_18_72",3
"618","BG_18_75",2
"619","BG_18_76",2
"620","BG_18_79",2
"621","BG_18_8",2
"622","BG_18_80",2
"623","BG_18_83",2
"624","BG_18_84",1
"625","BG_18_87",2
"626","BG_18_88",2
"627","BG_18_93",2
"628","BG_18_94",1
"629","BG_18_96",1
"630","BG_18_97",2
"631","BG_19_10",4
"632","BG_19_17",4
"633","BG_19_18",3
"634","BG_19_19",4
"635","BG_19_21",2
"636","BG_19_22",4
"637","BG_19_25",4
"638","BG_19_26",4
"639","BG_19_27",4
"640","BG_19_28",4
"641","BG_19_29",4
"642","BG_19_30",4
"643","BG_19_31",4
"644","BG_19_32",3
"645","BG_19_33",4
"646","BG_19_34",4
"647","BG_19_37",4
"648","BG_19_38",4
"649","BG_19_39",4
"650","BG_19_40",4
"651","BG_19_44",4
"652","BG_19_47",4
"653","BG_19_54",4
"654","BG_19_55",4
"655","BG_19_56",4
"656","BG_19_57",4
"657","BG_19_6",4
"658","BG_19_64",4
"659","BG_19_65",4
"660","BG_19_7",4
"661","BG_19_8",4
"662","BG_19_9",4
"663","BG_2_1",4
"664","BG_2_100",4
"665","BG_2_11",4
"666","BG_2_12",3
"667","BG_2_13",4
"668","BG_2_14",3
"669","BG_2_15",3
"670","BG_2_16",4
"671","BG_2_17",4
"672","BG_2_18",4
"673","BG_2_19",4
"674","BG_2_2",4
"675","BG_2_20",4
