"","location","Year","method","recording_date","transcriber","n"
"4629","BG-2-84",2015,"3m1SPM+7mVS","2015-06-17","Nicole Boucher",1
"4630","BG-2-84",2015,"3m1SPM+7mVS","2015-06-18","Natalie Sanchez",1
"4631","BG-2-84",2015,"3m1SPM+7mVS","2015-06-19","Nicole Boucher",1
"4632","BG-2-85",2015,"3m1SPM+7mVS","2015-06-10","Natalie Sanchez",1
"4633","BG-2-85",2015,"3m1SPM+7mVS","2015-06-11","Nicole Boucher",1
"4634","BG-2-85",2015,"3m1SPM+7mVS","2015-06-12","Alex MacPhail",1
"4635","BG-2-85",2015,"3m1SPM+7mVS","2015-06-20","Nicole Boucher",1
"4636","BG-2-86",2015,"3m1SPM+7mVS","2015-06-13","Nicole Boucher",1
"4637","BG-2-86",2015,"3m1SPM+7mVS","2015-06-15","Natalie Sanchez",1
"4638","BG-2-86",2015,"3m1SPM+7mVS","2015-06-19","Graeme Nordell",1
"4639","BG-2-86",2015,"3m1SPM+7mVS","2015-06-20","Nicole Boucher",1
"4640","BG-2-87",2015,"3m1SPM+7mVS","2015-06-21","Alex MacPhail",1
"4641","BG-2-87",2015,"3m1SPM+7mVS","2015-06-25","Natalie Sanchez",1
"4642","BG-2-87",2015,"3m1SPM+7mVS","2015-07-02","Nicole Boucher",1
