"","location","Year","method","recording_date","transcriber","n"
"5060","BG-4-27",2015,"3m1SPM+7mVS","2015-06-19","Nicole Boucher",1
"5061","BG-4-27",2015,"3m1SPM+7mVS","2015-06-20","Nicole Boucher",1
"5062","BG-4-28",2015,"3m 1SPM","2015-06-18","D Emkoad",1
"5063","BG-4-28",2015,"3m1SPM+7mVS","2015-06-16","Nicole Boucher",1
"5064","BG-4-28",2015,"3m1SPM+7mVS","2015-06-17","Natalie Sanchez",1
"5065","BG-4-28",2015,"3m1SPM+7mVS","2015-06-20","Graeme Nordell",1
"5066","BG-4-29",2015,"3m1SPM+7mVS","2015-06-16","Nicole Boucher",1
"5067","BG-4-29",2015,"3m1SPM+7mVS","2015-06-17","Natalie Sanchez",1
"5068","BG-4-29",2015,"3m1SPM+7mVS","2015-06-23","Graeme Nordell",1
"5069","BG-4-29",2015,"3m1SPM+7mVS","2015-06-24","Alex MacPhail",1
"5070","BG-4-3",2015,"3m 1SPM","2015-06-05","Brandon Law",1
"5071","BG-4-3",2015,"3m1SPM+7mVS","2015-05-26","Nicole Boucher",1
"5072","BG-4-3",2015,"3m1SPM+7mVS","2015-06-02","Nicole Boucher",1
"5073","BG-4-30",2015,"3m1SPM+7mVS","2015-06-16","Graeme Nordell",1
"5074","BG-4-30",2015,"3m1SPM+7mVS","2015-06-18","Graeme Nordell",1
"5075","BG-4-30",2015,"3m1SPM+7mVS","2015-06-21","Nicole Boucher",1
"5076","BG-4-30",2015,"3m1SPM+7mVS","2015-06-23","Nicole Boucher",1
"5077","BG-4-31",2015,"3m1SPM+7mVS","2015-06-11","Graeme Nordell",1
"5078","BG-4-31",2015,"3m1SPM+7mVS","2015-06-12","Graeme Nordell",1
"5079","BG-4-31",2015,"3m1SPM+7mVS","2015-06-13","Natalie Sanchez",1
"5080","BG-4-32",2015,"3m 1SPM","2015-06-13","Brandon Law",1
"5081","BG-4-32",2015,"3m1SPM+7mVS","2015-06-11","Natalie Sanchez",1
"5082","BG-4-32",2015,"3m1SPM+7mVS","2015-06-12","Nicole Boucher",1
"5083","BG-4-32",2015,"3m1SPM+7mVS","2015-06-13","Graeme Nordell",1
"5084","BG-4-33",2015,"10m 1SPM","2015-06-12","Natalie Sanchez",1
"5085","BG-4-33",2015,"3m1SPM+7mVS","2015-06-11","Natalie Sanchez",1
"5086","BG-4-33",2015,"3m1SPM+7mVS","2015-06-13","Alex MacPhail",1
"5087","BG-4-34",2015,"3m1SPM+7mVS","2015-06-22","Graeme Nordell",1
"5088","BG-4-34",2015,"3m1SPM+7mVS","2015-06-23","Nicole Boucher",1
"5089","BG-4-34",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"5090","BG-4-34",2015,"3m1SPM+7mVS","2015-06-25","Natalie Sanchez",1
"5091","BG-4-35",2015,"3m1SPM+7mVS","2015-06-11","Nicole Boucher",1
"5092","BG-4-35",2015,"3m1SPM+7mVS","2015-06-12","Nicole Boucher",1
"5093","BG-4-35",2015,"3m1SPM+7mVS","2015-06-13","Jocelyne Gregoire",1
"5094","BG-4-35",2015,"3m1SPM+7mVS","2015-06-14","Nicole Boucher",1
"5095","BG-4-36",2015,"3m1SPM+7mVS","2015-06-11","Alex MacPhail",1
"5096","BG-4-36",2015,"3m1SPM+7mVS","2015-06-13","Nicole Boucher",1
"5097","BG-4-36",2015,"3m1SPM+7mVS","2015-06-15","Graeme Nordell",1
"5098","BG-4-37",2015,"3m1SPM+7mVS","2015-06-17","Natalie Sanchez",1
"5099","BG-4-37",2015,"3m1SPM+7mVS","2015-06-18","Graeme Nordell",1
"5100","BG-4-37",2015,"3m1SPM+7mVS","2015-06-20","Natalie Sanchez",1
"5101","BG-4-37",2015,"3m1SPM+7mVS","2015-06-23","Alex MacPhail",1
"5102","BG-4-38",2015,"3m1SPM+7mVS","2015-06-17","Natalie Sanchez",1
"5103","BG-4-38",2015,"3m1SPM+7mVS","2015-06-19","Alex MacPhail",1
"5104","BG-4-38",2015,"3m1SPM+7mVS","2015-06-20","Graeme Nordell",1
"5105","BG-4-38",2015,"3m1SPM+7mVS","2015-06-22","Nicole Boucher",1
"5106","BG-4-39",2015,"3m1SPM+7mVS","2015-06-16","Nicole Boucher",1
"5107","BG-4-39",2015,"3m1SPM+7mVS","2015-06-20","Nicole Boucher",1
"5108","BG-4-39",2015,"3m1SPM+7mVS","2015-06-21","Nicole Boucher",1
"5109","BG-4-39",2015,"3m1SPM+7mVS","2015-06-23","Nicole Boucher",1
"5110","BG-4-4",2015,"3m 1SPM","2015-05-25","Brandon Law",1
"5111","BG-4-4",2015,"3m 1SPM","2015-06-01","S Shappas",1
"5112","BG-4-4",2015,"3m1SPM+7mVS","2015-05-25","Nicole Boucher",1
"5113","BG-4-4",2015,"3m1SPM+7mVS","2015-05-28","Natalie Sanchez",1
"5114","BG-4-4",2015,"3m1SPM+7mVS","2015-06-02","Graeme Nordell",1
"5115","BG-4-40",2015,"3m1SPM+7mVS","2015-06-18","Alex MacPhail",1
"5116","BG-4-40",2015,"3m1SPM+7mVS","2015-06-19","Nicole Boucher",1
"5117","BG-4-40",2015,"3m1SPM+7mVS","2015-06-22","Nicole Boucher",1
"5118","BG-4-40",2015,"3m1SPM+7mVS","2015-06-23","Alex MacPhail",1
