"","Key","Site","Station","Date","vegc","vegccc","isCC","isMix","isWSpruce","isPine","isBSpruce","isLarch","isBSLarch","isUpCon","isCon","wtAge","isFor","wtAge2","wtAge05","fCC1","fCC2","mEnSft","mTrSft","mSeism","mWell","mHard","mSoft","ROAD","CMETHOD","YR","X","Y","AHM","FFP","PET","MAP","MAT","MCMT","MWMT","xX","xY","xAHM","xPET","xFFP","xMAP","xMAT","xMCMT","xMWMT","xX2","xY2","SSH_KM","SSH05_KM","pWater_KM","pWater2_KM","THF_KM","Lin_KM","Cult_KM","Alien_KM","Nonlin_KM","Noncult_KM","Succ_KM","THF2_KM","Succ2_KM","Alien2_KM","Noncult2_KM","Nonlin2_KM","SS"
"680","BG_4_94",4,94,2015-06-13 06:00:00,"BSpr","BSpr",FALSE,0,0,0,1,0,1,0,1,0.39826757091354,TRUE,0.158617058041371,0.631084440398858,0,0,0.0642684857058849,0.175203069983602,0.0192606148476803,0.0053662723209116,0,0.258732170537168,0,"SM",24,-110.865055026236,55.4821170320582,21.3999996185303,95,516,468,0,-19.2999992370605,15.6000003814697,1.14855894988863,0.56877244117623,0.427999992370605,0.645,0.730769230769231,0.203478260869565,0,-0.771999969482422,0.780000019073486,1.31918766136928,0.323502089841568,0,0,0,0,0.311979333256118,0.143950434291478,0,0.16802889896464,0.16802889896464,0.311979333256118,0.143950434291478,0.0973311043789319,0.0207217275327051,0.0282337108872692,0.0973311043789319,0.0282337108872692,"BG_4_94"
"681","BG_4_94",4,94,2015-06-15 06:00:00,"BSpr","BSpr",FALSE,0,0,0,1,0,1,0,1,0.39826757091354,TRUE,0.158617058041371,0.631084440398858,0,0,0.0642684857058849,0.175203069983602,0.0192606148476803,0.0053662723209116,0,0.258732170537168,0,"SM",24,-110.865055026236,55.4821170320582,21.3999996185303,95,516,468,0,-19.2999992370605,15.6000003814697,1.14855894988863,0.56877244117623,0.427999992370605,0.645,0.730769230769231,0.203478260869565,0,-0.771999969482422,0.780000019073486,1.31918766136928,0.323502089841568,0,0,0,0,0.311979333256118,0.143950434291478,0,0.16802889896464,0.16802889896464,0.311979333256118,0.143950434291478,0.0973311043789319,0.0207217275327051,0.0282337108872692,0.0973311043789319,0.0282337108872692,"BG_4_94"
"682","BG_4_94",4,94,2015-06-16 06:00:00,"BSpr","BSpr",FALSE,0,0,0,1,0,1,0,1,0.39826757091354,TRUE,0.158617058041371,0.631084440398858,0,0,0.0642684857058849,0.175203069983602,0.0192606148476803,0.0053662723209116,0,0.258732170537168,0,"SM",24,-110.865055026236,55.4821170320582,21.3999996185303,95,516,468,0,-19.2999992370605,15.6000003814697,1.14855894988863,0.56877244117623,0.427999992370605,0.645,0.730769230769231,0.203478260869565,0,-0.771999969482422,0.780000019073486,1.31918766136928,0.323502089841568,0,0,0,0,0.311979333256118,0.143950434291478,0,0.16802889896464,0.16802889896464,0.311979333256118,0.143950434291478,0.0973311043789319,0.0207217275327051,0.0282337108872692,0.0973311043789319,0.0282337108872692,"BG_4_94"
"683","BG_4_95",4,95,2015-06-23 06:00:00,"Decid","Decid",FALSE,0,0,0,0,0,0,0,0,0.4,TRUE,0.16,0.632455532033676,0,0,0,0,0,0.00458318424100171,0,0,0,"SM",24,-110.855581407709,55.4818045813378,21.3999996185303,96,514,468,0,-19.2000007629395,15.5,1.15302763787311,0.568643860632841,0.427999992370605,0.6425,0.738461538461539,0.203478260869565,0,-0.768000030517578,0.775,1.32947273369925,0.323355840235422,0,0,0,0,0.0362803554722616,0.0211263626807162,0,0.0223319336542154,0.0151539927915454,0.0362803554722616,0.0139484218180462,0.00131626419319366,0.000194558471214148,0.000498715260736276,0.00131626419319366,0.000229643497526209,"BG_4_95"
"684","BG_4_95",4,95,2015-06-24 06:00:00,"Decid","Decid",FALSE,0,0,0,0,0,0,0,0,0.4,TRUE,0.16,0.632455532033676,0,0,0,0,0,0.00458318424100171,0,0,0,"SM",24,-110.855581407709,55.4818045813378,21.3999996185303,96,514,468,0,-19.2000007629395,15.5,1.15302763787311,0.568643860632841,0.427999992370605,0.6425,0.738461538461539,0.203478260869565,0,-0.768000030517578,0.775,1.32947273369925,0.323355840235422,0,0,0,0,0.0362803554722616,0.0211263626807162,0,0.0223319336542154,0.0151539927915454,0.0362803554722616,0.0139484218180462,0.00131626419319366,0.000194558471214148,0.000498715260736276,0.00131626419319366,0.000229643497526209,"BG_4_95"
"685","BG_4_95",4,95,2015-06-25 06:00:00,"Decid","Decid",FALSE,0,0,0,0,0,0,0,0,0.4,TRUE,0.16,0.632455532033676,0,0,0,0,0,0.00458318424100171,0,0,0,"SM",24,-110.855581407709,55.4818045813378,21.3999996185303,96,514,468,0,-19.2000007629395,15.5,1.15302763787311,0.568643860632841,0.427999992370605,0.6425,0.738461538461539,0.203478260869565,0,-0.768000030517578,0.775,1.32947273369925,0.323355840235422,0,0,0,0,0.0362803554722616,0.0211263626807162,0,0.0223319336542154,0.0151539927915454,0.0362803554722616,0.0139484218180462,0.00131626419319366,0.000194558471214148,0.000498715260736276,0.00131626419319366,0.000229643497526209,"BG_4_95"
"686","BG_4_95",4,95,2015-06-26 06:00:00,"Decid","Decid",FALSE,0,0,0,0,0,0,0,0,0.4,TRUE,0.16,0.632455532033676,0,0,0,0,0,0.00458318424100171,0,0,0,"SM",24,-110.855581407709,55.4818045813378,21.3999996185303,96,514,468,0,-19.2000007629395,15.5,1.15302763787311,0.568643860632841,0.427999992370605,0.6425,0.738461538461539,0.203478260869565,0,-0.768000030517578,0.775,1.32947273369925,0.323355840235422,0,0,0,0,0.0362803554722616,0.0211263626807162,0,0.0223319336542154,0.0151539927915454,0.0362803554722616,0.0139484218180462,0.00131626419319366,0.000194558471214148,0.000498715260736276,0.00131626419319366,0.000229643497526209,"BG_4_95"
"687","BG_4_96",4,96,2015-06-22 06:00:00,"BSpr","BSpr",FALSE,0,0,0,1,0,1,0,1,0.4,TRUE,0.16,0.632455532033676,0,0,0,0,0.0717050150088622,0,0,0.0717050150088622,0,"SM",24,-110.846107972636,55.4814913987247,21.3999996185303,95,517,468,0,-19.3999996185303,15.6000003814697,1.15749623932264,0.568514978899064,0.427999992370605,0.64625,0.730769230769231,0.203478260869565,0,-0.775999984741211,0.780000019073486,1.33979754404605,0.323209281232604,0,0,0,0,0.150340103739651,0.12174015179116,0,0.0499820996541888,0.0285999519484907,0.150340103739651,0.100358004085462,0.0226021467924489,0.0100717289840176,0.00249821028584126,0.0226021467924489,0.000817957251455976,"BG_4_96"
"688","BG_4_96",4,96,2015-06-23 06:00:00,"BSpr","BSpr",FALSE,0,0,0,1,0,1,0,1,0.4,TRUE,0.16,0.632455532033676,0,0,0,0,0.0717050150088622,0,0,0.0717050150088622,0,"SM",24,-110.846107972636,55.4814913987247,21.3999996185303,95,517,468,0,-19.3999996185303,15.6000003814697,1.15749623932264,0.568514978899064,0.427999992370605,0.64625,0.730769230769231,0.203478260869565,0,-0.775999984741211,0.780000019073486,1.33979754404605,0.323209281232604,0,0,0,0,0.150340103739651,0.12174015179116,0,0.0499820996541888,0.0285999519484907,0.150340103739651,0.100358004085462,0.0226021467924489,0.0100717289840176,0.00249821028584126,0.0226021467924489,0.000817957251455976,"BG_4_96"
"689","BG_4_96",4,96,2015-06-24 06:00:00,"BSpr","BSpr",FALSE,0,0,0,1,0,1,0,1,0.4,TRUE,0.16,0.632455532033676,0,0,0,0,0.0717050150088622,0,0,0.0717050150088622,0,"SM",24,-110.846107972636,55.4814913987247,21.3999996185303,95,517,468,0,-19.3999996185303,15.6000003814697,1.15749623932264,0.568514978899064,0.427999992370605,0.64625,0.730769230769231,0.203478260869565,0,-0.775999984741211,0.780000019073486,1.33979754404605,0.323209281232604,0,0,0,0,0.150340103739651,0.12174015179116,0,0.0499820996541888,0.0285999519484907,0.150340103739651,0.100358004085462,0.0226021467924489,0.0100717289840176,0.00249821028584126,0.0226021467924489,0.000817957251455976,"BG_4_96"
