"","SS","Visits"
"266","BG_11_79",3
"267","BG_11_8",4
"268","BG_11_80",4
"269","BG_11_81",4
"270","BG_11_82",3
"271","BG_11_83",4
"272","BG_11_84",4
"273","BG_11_85",4
"274","BG_11_86",4
"275","BG_11_87",4
"276","BG_11_88",4
"277","BG_11_89",4
"278","BG_11_9",4
"279","BG_11_90",4
"280","BG_11_91",4
"281","BG_11_92",4
"282","BG_11_93",4
"283","BG_11_94",3
"284","BG_11_95",3
"285","BG_11_96",4
"286","BG_11_97",4
"287","BG_11_98",4
"288","BG_11_99",4
"289","BG_12_1",6
"290","BG_12_10",4
"291","BG_12_100",4
"292","BG_12_11",3
"293","BG_12_12",3
"294","BG_12_13",4
"295","BG_12_14",4
"296","BG_12_15",4
"297","BG_12_16",4
"298","BG_12_17",3
"299","BG_12_18",3
"300","BG_12_19",3
"301","BG_12_2",4
"302","BG_12_20",4
"303","BG_12_21",3
"304","BG_12_22",4
"305","BG_12_23",4
"306","BG_12_24",4
"307","BG_12_25",3
"308","BG_12_26",4
"309","BG_12_27",3
"310","BG_12_28",3
"311","BG_12_29",4
"312","BG_12_3",3
"313","BG_12_30",3
"314","BG_12_31",4
"315","BG_12_32",4
"316","BG_12_33",4
"317","BG_12_34",4
"318","BG_12_35",3
"319","BG_12_36",3
"320","BG_12_37",3
"321","BG_12_38",4
"322","BG_12_39",4
"323","BG_12_4",3
"324","BG_12_40",3
"325","BG_12_41",4
"326","BG_12_42",4
"327","BG_12_43",4
"328","BG_12_44",4
"329","BG_12_45",4
"330","BG_12_46",4
"331","BG_12_47",4
"332","BG_12_48",4
"333","BG_12_49",4
"334","BG_12_5",3
"335","BG_12_50",3
"336","BG_12_51",4
"337","BG_12_52",4
"338","BG_12_53",4
"339","BG_12_54",4
"340","BG_12_55",4
"341","BG_12_56",4
"342","BG_12_57",4
"343","BG_12_58",4
"344","BG_12_59",2
"345","BG_12_6",4
"346","BG_12_60",4
"347","BG_12_61",4
"348","BG_12_62",4
"349","BG_12_63",3
"350","BG_12_64",3
"351","BG_12_65",3
"352","BG_12_66",3
"353","BG_12_67",3
"354","BG_12_68",4
"355","BG_12_69",3
"356","BG_12_7",4
"357","BG_12_70",4
"358","BG_12_71",4
"359","BG_12_72",4
"360","BG_12_73",4
"361","BG_12_74",4
"362","BG_12_75",3
"363","BG_12_76",4
"364","BG_12_77",4
"365","BG_12_78",4
"366","BG_12_79",3
"367","BG_12_8",4
"368","BG_12_80",4
"369","BG_12_81",4
"370","BG_12_82",4
"371","BG_12_83",4
"372","BG_12_84",3
"373","BG_12_85",4
"374","BG_12_86",3
"375","BG_12_87",3
"376","BG_12_88",2
"377","BG_12_89",4
"378","BG_12_9",4
"379","BG_12_90",4
"380","BG_12_91",2
"381","BG_12_92",4
"382","BG_12_93",4
"383","BG_12_94",4
"384","BG_12_95",4
"385","BG_12_96",4
"386","BG_12_97",4
"387","BG_12_98",4
"388","BG_12_99",4
"389","BG_13_1",4
"390","BG_13_10",4
"391","BG_13_100",4
"392","BG_13_11",3
"393","BG_13_12",4
"394","BG_13_13",4
"395","BG_13_14",4
"396","BG_13_15",4
"397","BG_13_16",4
"398","BG_13_17",4
"399","BG_13_18",4
"400","BG_13_19",3
"401","BG_13_2",4
"402","BG_13_20",4
"403","BG_13_21",4
"404","BG_13_22",4
"405","BG_13_23",4
"406","BG_13_24",4
"407","BG_13_25",4
"408","BG_13_26",4
"409","BG_13_27",4
"410","BG_13_28",4
"411","BG_13_29",3
"412","BG_13_3",4
"413","BG_13_30",4
"414","BG_13_31",5
"415","BG_13_32",4
"416","BG_13_33",4
"417","BG_13_34",4
"418","BG_13_35",4
"419","BG_13_36",4
"420","BG_13_37",4
"421","BG_13_38",3
"422","BG_13_4",4
"423","BG_13_40",4
"424","BG_13_41",3
"425","BG_13_42",3
"426","BG_13_43",4
"427","BG_13_44",4
"428","BG_13_45",3
"429","BG_13_46",3
"430","BG_13_47",4
"431","BG_13_48",4
"432","BG_13_49",5
"433","BG_13_5",4
"434","BG_13_50",4
"435","BG_13_51",3
"436","BG_13_52",4
"437","BG_13_53",3
"438","BG_13_54",3
"439","BG_13_55",4
"440","BG_13_56",4
"441","BG_13_57",4
"442","BG_13_58",5
"443","BG_13_59",3
"444","BG_13_6",4
"445","BG_13_60",4
"446","BG_13_61",4
"447","BG_13_62",4
"448","BG_13_63",4
"449","BG_13_64",4
"450","BG_13_65",5
"451","BG_13_66",4
"452","BG_13_67",4
"453","BG_13_68",4
"454","BG_13_7",4
"455","BG_13_70",3
"456","BG_13_71",4
"457","BG_13_72",4
"458","BG_13_73",4
"459","BG_13_74",4
"460","BG_13_75",4
"461","BG_13_76",4
"462","BG_13_77",4
"463","BG_13_78",4
"464","BG_13_79",4
"465","BG_13_8",4
"466","BG_13_80",4
"467","BG_13_81",4
"468","BG_13_82",4
"469","BG_13_83",4
"470","BG_13_84",4
"471","BG_13_85",4
"472","BG_13_86",4
"473","BG_13_87",4
"474","BG_13_88",4
"475","BG_13_89",3
"476","BG_13_9",4
"477","BG_13_90",4
"478","BG_13_91",4
"479","BG_13_92",4
"480","BG_13_93",3
"481","BG_13_94",4
"482","BG_13_95",4
"483","BG_13_96",4
"484","BG_13_97",4
"485","BG_13_98",4
"486","BG_13_99",4
"487","BG_14_1",4
"488","BG_14_10",3
"489","BG_14_100",4
"490","BG_14_11",4
"491","BG_14_12",4
