"","SS","DecidR","Decid1","Decid2","Decid3","Decid4","Decid5","Decid6","Decid7","Decid8","Decid9","MixedwoodR","Mixedwood1","Mixedwood2","Mixedwood3","Mixedwood4","Mixedwood5","Mixedwood6","Mixedwood7","Mixedwood8","Mixedwood9","PineR","Pine1","Pine2","Pine3","Pine4","Pine5","Pine6","Pine7","Pine8","Pine9","SpruceR","Spruce1","Spruce2","Spruce3","Spruce4","Spruce5","Spruce6","Spruce7","Spruce8","Spruce9","TreedBogR","TreedBog1","TreedBog2","TreedBog3","TreedBog4","TreedBog5","TreedBog6","TreedBog7","TreedBog8","TreedBog9","TreedFenR","TreedFen1","TreedFen2","TreedFen3","TreedFen4","TreedFen5","TreedFen6","TreedFen7","TreedFen8","TreedFen9","TreedSwampR","TreedSwamp1","TreedSwamp2","TreedSwamp3","TreedSwamp4","TreedSwamp5","TreedSwamp6","TreedSwamp7","TreedSwamp8","TreedSwamp9","GrassHerb","Shrub","GraminoidFen","Marsh","ShrubbyBog","ShrubbyFen","ShrubbySwamp","Bare","SnowIce","Water","UrbanIndustrial","UrbanResidence","RuralResidentialIndustrial","IndustrialSiteRural","WindGenerationFacility","OtherDisturbedVegetation","MineSite","PeatMine","WellSite","Pipeline","TransmissionLine","SeismicLineNarrow","SeismicLineWide","RoadHardSurface","RailHardSurface","RoadTrailVegetated","RoadVegetatedVerge","RailVegetatedVerge","CultivationCrop","CultivationAbandoned","CultivationRoughPasture","CultivationTamePasture","HighDensityLivestockOperation","BorrowpitsDugoutsSumps","MunicipalWaterSewage","Reservoirs","Canals","CCDecidR","CCDecid1","CCDecid2","CCDecid3","CCDecid4","CCMixedwoodR","CCMixedwood1","CCMixedwood2","CCMixedwood3","CCMixedwood4","CCPineR","CCPine1","CCPine2","CCPine3","CCPine4","CCSpruceR","CCSpruce1","CCSpruce2","CCSpruce3","CCSpruce4"
"BG_10_18","BG_10_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18104.8854956451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278.89962996329,0,0,0,0,0,0,0,0,0,0,94872.9130993239,242343.864252914,0,0,18.8265044496569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3380.5467278365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_19","BG_10_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29785.1085669134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94308.6112942232,125920.376553039,0,0,105535.121491596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.75055293263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_2","BG_10_2",0,0,0,176365.538791684,0,0,0,0,0,0,0,0,0,0,0,0,0,52403.2864555142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126787.541494779,0,0,0,0,0,0,0,0,0,0,0,0,4443.50579992452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_20","BG_10_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19802.6390404866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58066.5409392098,264306.00209345,0,0,665.875537906051,0,0,0,0,0,0,0,0,0,0,0,0,2624.50391382333,2751.26936007083,0,0,0,0,0,8328.24755258992,0,0,0,0,0,0,0,0,0,0,0,0,564.214122299684,0,0,2890.71628172993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_21","BG_10_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.679376714738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2391.87829080847,34427.4031196335,0,0,0,0,0,0,0,0,0,0,17095.4770839832,0,0,0,0,0,0,0,0,0,0,113573.229355463,0,0,0,0,0,0,0,0,0,0,0,0,129379.316374137,55097.8942866353,7058.44401169938,0,0,0,0,63.1685474617615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.434211002738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_22","BG_10_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419.91761539195,64600.5701239564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24427.0664686251,0,0,0,0,0,0,0,0,0,0,0,0,174364.321642614,21754.9341309591,9255.4767776727,58946.5103768392,5231.14645711731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_23","BG_10_23",0,0,0,0,0,0,0,49671.769917659,0,0,0,0,0,0,0,0,0,11446.9561688784,0,0,0,0,0,1213.20297701957,0,0,0,23585.8629337232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64023.2437646095,0,0,0,0,0,0,0,0,0,0,0,0,0,202781.173925235,2666.53662908422,3647.48345509539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963.752837317696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_24","BG_10_24",0,0,0,0,0,0,0,22513.510338599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48083.0023856467,0,0,0,86709.0021342345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40148.8663811528,0,0,0,0,0,0,0,0,133700.367261158,9318.22449380122,6264.63292016965,6650.31728874329,1.34444163177179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3608.15302038522,0,0,3002.49126902094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_25","BG_10_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151437.633352859,0,0,0,0,0,0,0,0,0,22615.3420414181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8039.85722449005,0,0,0,0,0,0,0,0,0,0,0,0,5953.61337195952,0,0,98708.4208145943,68684.9802251951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3641.16873103834,0,0,918.863739532942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_26","BG_10_26",0,0,0,0,13380.5291314803,151031.203792654,0,0,0,0,0,0,0,0,0,0,0,32963.0728872043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16097.8757809503,0,31724.5717402812,0,0,0,0,0,0,0,0,0,0,0,0,7620.16987960606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65671.6767129856,28302.9203461914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8382.33226879755,0,0,4825.60513047837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
