project,organization,location,recording_date,recording_time,status,latitude,longitude,buffer_radius_m,species_code,scientific_name,species_english_name,method,rain,wind,noise,industry_noise,audio_quality,species_individual_name,transcriber,abundance,confidence,min0_voc,min0_start,min1_voc,min1_start,min2_voc,min2_start,min3_voc,min3_start,min4_voc,min4_start,min5_voc,min5_start,min6_voc,min6_start,min7_voc,min7_start,min8_voc,min8_start,min9_voc,min9_start,comment,species_comment,source_file_name
Big Grids 2014,BU,BG-1-132,2014-05-30,02:00:00,Transcribed,56.319882,-110.925402,,BCFR,Pseudacris maculata,Boreal Chorus Frog,3m 1SPM,2,0,0,0,Unbalanced Channels,1,Michelle Knaggs,ONE,Confident,,,Song,17.5,,,,,,,,,,,,,,,,,,VERY FAINT. POSSIBLY IN 2ND MINUTE BUT TOO FAINT TO TELLLEFT MIC FAINTER THAN RIGHT,BG-0001-132_20140530_020000.wac
Big Grids 2014,BU,BG-1-132,2014-05-30,02:00:00,Transcribed,56.319882,-110.925402,,BCFR,Pseudacris maculata,Boreal Chorus Frog,3m1SPM+7mVS,0,0,0,2,Unbalanced Channels,1,Michelle Knaggs,CI 2,Confident,Call,20.5,Call,0.5,Call,9.5,,,,,,,,,,,,,,,,VERY FAINTLEFT MIC WEAKER THAN RIGHT,BG-0001-132_20140530_020000.wac
Big Grids 2014,BU,BG-1-132,2014-05-30,02:00:00,Transcribed,56.319882,-110.925402,,LINO, ,Light continuous industrial noise,3m 1SPM,2,0,0,0,Unbalanced Channels,0,Michelle Knaggs,N/A,Confident,N/A,0.5,N/A,0.5,N/A,0.5,,,,,,,,,,,,,,,,,BG-0001-132_20140530_020000.wac
Big Grids 2014,BU,BG-1-132,2014-05-30,02:00:00,Transcribed,56.319882,-110.925402,,MONO, ,Moderate continuous industrial noise,3m 1SPM,2,0,0,0,Unbalanced Channels,0,Michelle Knaggs,N/A,Confident,N/A,55.5,N/A,2.5,,,,,,,,,,,,,,,,,,,BG-0001-132_20140530_020000.wac
Big Grids 2014,BU,BG-1-132,2014-05-30,02:00:00,Transcribed,56.319882,-110.925402,,MONO, ,Moderate continuous industrial noise,3m1SPM+7mVS,0,0,0,2,Unbalanced Channels,0,Michelle Knaggs,N/A,Confident,N/A,0.5,N/A,0.5,N/A,0.5,,,,,,,,,,,,,,,,,BG-0001-132_20140530_020000.wac
Big Grids 2014,BU,BG-1-132,2014-05-30,02:00:00,Transcribed,56.319882,-110.925402,,MORA, ,Moderate rain,3m 1SPM,2,0,0,0,Unbalanced Channels,0,Michelle Knaggs,N/A,Confident,N/A,0.5,N/A,0.5,N/A,0.5,,,,,,,,,,,,,,,,,BG-0001-132_20140530_020000.wac
Big Grids 2014,BU,BG-1-132,2014-05-30,02:00:00,Transcribed,56.319882,-110.925402,,MORA, ,Moderate rain,3m1SPM+7mVS,0,0,0,2,Unbalanced Channels,0,Michelle Knaggs,N/A,Confident,N/A,0.5,N/A,0.5,N/A,0.5,,,,,,,,,,,,,,,,,BG-0001-132_20140530_020000.wac
Big Grids 2014,BU,BG-1-57,2014-05-31,02:00:00,Transcribed,56.274959,-110.925490,,BCFR,Pseudacris maculata,Boreal Chorus Frog,3m 1SPM,0,0,0,0,No audio quality issues,1,Michelle Knaggs,ONE,Confident,Song,0.5,Song,0.5,Song,0.5,,,,,,,,,,,,,,,,,BG-0001-057_20140531_020000.wac
Big Grids 2014,BU,BG-1-57,2014-05-31,02:00:00,Transcribed,56.274959,-110.925490,,BCFR,Pseudacris maculata,Boreal Chorus Frog,3m1SPM+7mVS,0,0,0,0,No audio quality issues,1,Michelle Knaggs,TMTC,Confident,Song,0.5,Song,0.5,Song,0.5,,,,,,,,,,,,,,,,,BG-0001-057_20140531_020000.wac
Big Grids 2014,BU,BG-1-57,2014-05-31,02:00:00,Transcribed,56.274959,-110.925490,,HENO, ,Heavy continuous industrial noise,3m 1SPM,0,0,0,0,No audio quality issues,0,Michelle Knaggs,N/A,Confident,N/A,55.5,N/A,0.5,,,,,,,,,,,,,,,,,,,BG-0001-057_20140531_020000.wac
